XLU,2023-01-03 00:00:00,shap,skewness_3m,price_oscillator,MACD_3m,bollinger_high_6,momentum_diff_RSI_3m_6m,momentum_diff_RSI_24m_48m,RSI_48m,CPIAUCSL,momentum_diff_ADX_12m_24m,BOPGSTB
XLV,2023-01-03 00:00:00,selectkbest,MACD_3m,MACD_6m,MACD_12m,MACD_24m,ROC_24m,RSI_48m,MACD_48m,momentum_diff_ROC_12m_24m,momentum_diff_RSI_24m_48m,bollinger_high_3
XLU,2023-01-03 00:00:00,causal,skewness_3m,bollinger_high_6,price_oscillator,ROC_12m,MACD_3m,momentum_diff_ROC_3m_6m,momentum_diff_ADX_12m_24m,ADX_3m,UMCSENT,volume
IYR,2023-01-03 00:00:00,shap,momentum_diff_ROC_12m_24m,obv,bollinger_low_3,volume,momentum_diff_ADX_12m_24m,ROC_48m,kurtosis_6m,BOPGSTB,UMCSENT,open
IYR,2023-01-03 00:00:00,causal,CPIAUCSL,obv,momentum_diff_ROC_12m_24m,volume,RSI_24m,price_oscillator,skewness_3m,low,bollinger_low_6,RSI_3m
IYR,2023-01-03 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
VOX,2023-01-03 00:00:00,causal,skewness_6m,bollinger_high_12,skewness_3m,ADX_12m,MACD_3m,ADX_24m,ROC_12m,UNRATE,price_oscillator,kurtosis_12m
XLU,2023-01-03 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLU,2023-01-03 00:00:00,selectkbest,skewness_3m,MACD_3m,MACD_6m,MACD_12m,MACD_24m,RSI_48m,MACD_48m,momentum_diff_ROC_3m_6m,momentum_diff_RSI_24m_48m,bollinger_high_6
VOX,2023-01-03 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
VOX,2023-01-03 00:00:00,shap,skewness_6m,ADX_12m,skewness_3m,momentum_diff_ROC_24m_48m,adl,bollinger_high_12,ROC_12m,kurtosis_12m,volume,momentum_diff_ADX_3m_6m
IYR,2023-01-03 00:00:00,selectkbest,skewness_6m,kurtosis_6m,ROC_12m,RSI_24m,momentum_diff_ROC_6m_12m,momentum_diff_ROC_12m_24m,bollinger_high_12,bollinger_high_24,price_oscillator,adl
SPY,2023-01-03 00:00:00,causal,bollinger_high_12,price_oscillator,skewness_48m,RSI_12m,bollinger_low_6,momentum_diff_ROC_3m_6m,UMCSENT,bollinger_low_3,volume,kurtosis_24m
VOX,2023-01-03 00:00:00,selectkbest,skewness_3m,skewness_6m,ADX_12m,ADX_24m,ADX_48m,bollinger_high_12,UNRATE,BOPGSTB,PPIACO,TB3MS
SPY,2023-01-03 00:00:00,shap,bollinger_high_12,skewness_48m,UMCSENT,ADX_48m,RSI_12m,kurtosis_6m,MACD_3m,bollinger_low_6,volume,price_oscillator
SPY,2023-01-03 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
SPY,2023-01-03 00:00:00,selectkbest,MACD_3m,MACD_6m,ROC_6m,MACD_12m,MACD_24m,MACD_48m,momentum_diff_ROC_3m_6m,momentum_diff_ROC_6m_12m,momentum_diff_RSI_24m_48m,bollinger_high_12
XLE,2023-02-01 00:00:00,shap,BOPGSTB,kurtosis_24m,obv,skewness_6m,price_oscillator,high,low,ROC_3m,month,bollinger_high_6
XLB,2023-02-01 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLB,2023-02-01 00:00:00,shap,skewness_6m,bollinger_low_6,ROC_48m,RSI_3m,MACD_3m,momentum_diff_ROC_3m_6m,ADX_3m,momentum_diff_ADX_6m_12m,skewness_3m,bollinger_low_24
XLE,2023-02-01 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLI,2023-02-01 00:00:00,causal,skewness_6m,bollinger_high_6,bollinger_low_3,momentum_diff_RSI_6m_12m,bollinger_low_12,price_oscillator,kurtosis_6m,skewness_12m,bollinger_high_12,kurtosis_12m
XLI,2023-02-01 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLK,2023-02-01 00:00:00,shap,bollinger_high_6,momentum_diff_ROC_12m_24m,momentum_diff_ADX_12m_24m,skewness_6m,price_oscillator,bollinger_high_12,bollinger_low_12,momentum_diff_ROC_24m_48m,skewness_3m,UMCSENT
XLB,2023-02-01 00:00:00,causal,skewness_6m,bollinger_low_6,ROC_48m,skewness_3m,bollinger_low_24,volume,RSI_6m,momentum_diff_ROC_3m_6m,obv,ADX_3m
XLI,2023-02-01 00:00:00,shap,bollinger_high_12,skewness_48m,skewness_24m,kurtosis_6m,kurtosis_12m,MACD_3m,bollinger_high_6,RSI_12m,momentum_diff_ROC_24m_48m,price_oscillator
XLE,2023-02-01 00:00:00,causal,kurtosis_24m,momentum_diff_ROC_12m_24m,obv,GDP,kurtosis_12m,bollinger_low_6,volume,month,ROC_48m,bollinger_high_12
XLK,2023-02-01 00:00:00,causal,momentum_diff_ROC_12m_24m,obv,bollinger_high_6,UMCSENT,bollinger_low_3,bollinger_high_12,bollinger_low_6,price_oscillator,momentum_diff_ROC_3m_6m,bollinger_low_12
XLE,2023-02-01 00:00:00,selectkbest,high,kurtosis_24m,kurtosis_48m,momentum_diff_ADX_24m_48m,bollinger_high_24,bollinger_low_24,bollinger_high_48,bollinger_low_48,BOPGSTB,UMCSENT
XLB,2023-02-01 00:00:00,selectkbest,PPO_3m,PPO_6m,PPO_12m,MACD_24m,PPO_24m,MACD_48m,PPO_48m,ROC_48m,bollinger_high_24,bollinger_low_24
XLI,2023-02-01 00:00:00,selectkbest,skewness_6m,kurtosis_6m,MACD_3m,MACD_6m,MACD_12m,MACD_24m,ROC_48m,momentum_diff_ROC_24m_48m,bollinger_high_12,bollinger_low_24
XLK,2023-02-01 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
