date,ETF,Method,model,hyperparam_method,train_period,val_period,RMSE
2019-01-03,VOX,causal,RFR,optuna,36,12,0.032071614903573326
2019-01-03,VOX,causal,RFR,optuna,60,12,0.03125475743597145
2019-01-03,VOX,causal,RFR,random,36,12,0.03237863295459632
2019-01-03,VOX,causal,RFR,random,60,12,0.030469607396897018
2019-01-03,VOX,causal,XGBR,optuna,36,12,0.033052136052616574
2019-01-03,VOX,causal,XGBR,optuna,60,12,0.032977744936293456
2019-01-03,VOX,causal,XGBR,random,36,12,0.031853336303015026
2019-01-03,VOX,causal,XGBR,random,60,12,0.03166882668006239
2019-01-03,VOX,selectkbest,LGBMR,optuna,36,12,0.0312287590497611
2019-01-03,VOX,selectkbest,LGBMR,optuna,60,12,0.030644369981305833
2019-01-03,VOX,selectkbest,LGBMR,random,36,12,0.030904282394972754
2019-01-03,VOX,selectkbest,LGBMR,random,60,12,0.030904282394972754
2019-01-03,VOX,selectkbest,RFR,optuna,36,12,0.029317936286939628
2019-01-03,VOX,selectkbest,RFR,optuna,60,12,0.02976681118968269
2019-01-03,VOX,selectkbest,RFR,random,36,12,0.029297836069544825
2019-01-03,VOX,selectkbest,RFR,random,60,12,0.029297836069544825
2019-01-03,VOX,selectkbest,XGBR,optuna,36,12,0.03298275970798711
2019-01-03,VOX,selectkbest,XGBR,optuna,60,12,0.03292687158333359
2019-01-03,VOX,selectkbest,XGBR,random,36,12,0.03152508679149142
2019-01-03,VOX,selectkbest,XGBR,random,60,12,0.03152508679149142
2019-01-03,VOX,shap,LGBMR,optuna,36,12,0.03376098721337173
2019-01-03,VOX,shap,LGBMR,optuna,60,12,0.033764207307590346
2019-01-03,VOX,shap,LGBMR,random,36,12,0.03359097055848377
2019-01-03,VOX,shap,LGBMR,random,60,12,0.03359097055848377
2019-01-03,VOX,shap,RFR,optuna,36,12,0.032613008337213596
2019-01-03,VOX,shap,RFR,optuna,60,12,0.03254410302472284
2019-01-03,VOX,shap,RFR,random,36,12,0.032978732810963106
2019-01-03,VOX,shap,RFR,random,60,12,0.032978732810963106
2019-01-03,VOX,shap,XGBR,optuna,36,12,0.03309638671406828
2019-01-03,VOX,shap,XGBR,optuna,60,12,0.03288626800475562
2019-01-03,VOX,shap,XGBR,random,36,12,0.03285180139335062
2019-01-03,VOX,shap,XGBR,random,60,12,0.03285180139335062
2019-01-03,XLB,causal,LGBMR,optuna,36,12,0.03169888954022097
2019-01-03,XLB,causal,LGBMR,optuna,60,12,0.03246388475880371
2019-01-03,XLB,causal,LGBMR,random,36,12,0.031880445971638784
2019-01-03,XLB,causal,LGBMR,random,60,12,0.031880445971638784
2019-01-03,XLB,causal,RFR,optuna,36,12,0.029939749584185125
2019-01-03,XLB,causal,RFR,optuna,60,12,0.03203124469462124
2019-01-03,XLB,causal,RFR,random,36,12,0.03198721229708446
2019-01-03,XLB,causal,RFR,random,60,12,0.03183472544540948
2019-01-03,XLB,causal,XGBR,optuna,36,12,0.03216387515832189
2019-01-03,XLB,causal,XGBR,optuna,60,12,0.0321325167824694
2019-01-03,XLB,causal,XGBR,random,36,12,0.03229613558740813
2019-01-03,XLB,causal,XGBR,random,60,12,0.031166658186617124
2019-01-03,XLB,selectkbest,LGBMR,optuna,36,12,0.03187315844608593
2019-01-03,XLB,selectkbest,LGBMR,optuna,60,12,0.031913428121262875
2019-01-03,XLB,selectkbest,LGBMR,random,36,12,0.03192229475931537
2019-01-03,XLB,selectkbest,LGBMR,random,60,12,0.03192229475931537
2019-01-03,XLB,selectkbest,RFR,optuna,36,12,0.030348108154531657
2019-01-03,XLB,selectkbest,RFR,optuna,60,12,0.030415748563116227
2019-01-03,XLB,selectkbest,RFR,random,36,12,0.030536920140970567
2019-01-03,XLB,selectkbest,RFR,random,60,12,0.030536920140970567
2019-01-03,XLB,selectkbest,XGBR,optuna,36,12,0.03213392105729432
2019-01-03,XLB,selectkbest,XGBR,optuna,60,12,0.03209655060679549
2019-01-03,XLB,selectkbest,XGBR,random,36,12,0.032012812911456155
2019-01-03,XLB,selectkbest,XGBR,random,60,12,0.032012812911456155
2019-01-03,XLB,shap,LGBMR,optuna,36,12,0.03178314778608508
2019-01-03,XLB,shap,LGBMR,optuna,60,12,0.031786510911256456
2019-01-03,XLB,shap,LGBMR,random,36,12,0.03192754818011883
2019-01-03,XLB,shap,LGBMR,random,60,12,0.03192754818011883
2019-01-03,XLB,shap,RFR,optuna,36,12,0.030525188081976455
2019-01-03,XLB,shap,RFR,optuna,60,12,0.0296285116622275
2019-01-03,XLB,shap,RFR,random,36,12,0.02955467671139357
2019-01-03,XLB,shap,RFR,random,60,12,0.02955467671139357
2019-01-03,XLB,shap,XGBR,optuna,36,12,0.0321231561725175
