n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,Modelo,Metodo,ETF,date
100,4,3,log2,30,RFR,random,XLB,2019-09-03
200,6,3,sqrt,30,RFR,random,XLI,2019-09-03
200,6,2,log2,20,RFR,random,XLF,2019-09-03
200,6,3,sqrt,30,RFR,random,XLP,2019-09-03
200,6,3,sqrt,30,RFR,random,XLY,2019-09-03
200,6,3,sqrt,30,RFR,random,XLV,2019-09-03
200,4,1,sqrt,20,RFR,random,IYR,2019-09-03
50,2,3,sqrt,10,RFR,random,XLU,2019-09-03
100,4,3,log2,30,RFR,random,VOX,2019-09-03
200,6,2,log2,20,RFR,random,SPY,2019-10-01
200,6,3,sqrt,30,RFR,random,XLE,2019-10-01
50,2,3,sqrt,10,RFR,random,XLK,2019-10-01
200,6,3,sqrt,30,RFR,random,XLB,2019-10-01
200,6,3,sqrt,30,RFR,random,XLI,2019-10-01
200,6,2,log2,20,RFR,random,XLF,2019-10-01
200,6,3,sqrt,30,RFR,random,XLP,2019-10-01
200,6,3,sqrt,30,RFR,random,XLY,2019-10-01
200,6,3,sqrt,30,RFR,random,IYR,2019-10-01
100,4,3,log2,30,RFR,random,XLU,2019-10-01
50,4,2,log2,10,RFR,random,XLV,2019-10-01
100,4,3,log2,30,RFR,random,VOX,2019-10-01
200,6,2,log2,20,RFR,random,SPY,2019-11-01
100,4,3,log2,30,RFR,random,XLK,2019-11-01
200,6,3,sqrt,30,RFR,random,XLE,2019-11-01
200,6,3,sqrt,30,RFR,random,XLB,2019-11-01
50,2,3,sqrt,10,RFR,random,XLI,2019-11-01
200,2,2,log2,30,RFR,random,XLF,2019-11-01
50,2,3,sqrt,10,RFR,random,XLP,2019-11-01
50,2,3,sqrt,10,RFR,random,XLY,2019-11-01
50,4,2,log2,10,RFR,random,XLV,2019-11-01
200,4,1,sqrt,20,RFR,random,XLU,2019-11-01
200,4,1,sqrt,20,RFR,random,IYR,2019-11-01
100,4,3,log2,30,RFR,random,VOX,2019-11-01
200,6,2,log2,20,RFR,random,SPY,2019-12-02
200,2,2,log2,30,RFR,random,XLE,2019-12-02
50,2,3,sqrt,10,RFR,random,XLK,2019-12-02
200,6,3,sqrt,30,RFR,random,XLI,2019-12-02
200,6,3,sqrt,30,RFR,random,XLB,2019-12-02
200,6,2,log2,20,RFR,random,XLF,2019-12-02
100,4,3,log2,30,RFR,random,XLP,2019-12-02
50,2,3,sqrt,10,RFR,random,XLY,2019-12-02
50,4,2,log2,10,RFR,random,XLV,2019-12-02
200,6,3,sqrt,30,RFR,random,XLU,2019-12-02
200,6,3,sqrt,30,RFR,random,IYR,2019-12-02
100,4,3,log2,30,RFR,random,VOX,2019-12-02
200,6,2,log2,20,RFR,random,SPY,2020-01-02
50,2,3,sqrt,10,RFR,random,XLE,2020-01-02
100,4,3,log2,30,RFR,random,XLB,2020-01-02
50,2,3,sqrt,10,RFR,random,XLI,2020-01-02
50,6,2,log2,20,RFR,random,XLF,2020-01-02
200,6,3,sqrt,30,RFR,random,XLK,2020-01-02
100,4,3,log2,30,RFR,random,XLP,2020-01-02
50,2,3,sqrt,10,RFR,random,XLY,2020-01-02
200,6,3,sqrt,30,RFR,random,XLV,2020-01-02
200,6,3,sqrt,30,RFR,random,XLU,2020-01-02
50,2,3,sqrt,10,RFR,random,IYR,2020-01-02
100,4,3,log2,30,RFR,random,VOX,2020-01-02
107,14,6,1,sqrt,RFR,optuna,SPY,2019-01-03
53,14,4,3,log2,RFR,optuna,XLB,2019-01-03
79,22,3,3,sqrt,RFR,optuna,XLK,2019-01-03
50,24,2,2,sqrt,RFR,optuna,XLP,2019-01-03
55,22,3,2,log2,RFR,optuna,XLU,2019-01-03
193,22,4,3,sqrt,RFR,optuna,XLI,2019-01-03
88,20,4,3,sqrt,RFR,optuna,XLE,2019-01-03
118,21,4,3,sqrt,RFR,optuna,XLV,2019-01-03
140,25,6,3,log2,RFR,optuna,XLY,2019-01-03
170,30,5,1,log2,RFR,optuna,XLF,2019-01-03
134,16,3,3,sqrt,RFR,optuna,VOX,2019-01-03
177,18,5,3,log2,RFR,optuna,IYR,2019-01-03
53,17,6,3,sqrt,RFR,optuna,SPY,2019-02-01
66,13,4,3,log2,RFR,optuna,XLB,2019-02-01
140,30,4,1,log2,RFR,optuna,XLF,2019-02-01
141,22,5,3,sqrt,RFR,optuna,XLK,2019-02-01
157,13,3,2,sqrt,RFR,optuna,XLE,2019-02-01
125,27,4,3,sqrt,RFR,optuna,XLP,2019-02-01
198,13,4,3,log2,RFR,optuna,XLI,2019-02-01
119,24,6,3,log2,RFR,optuna,IYR,2019-02-01
149,15,6,1,sqrt,RFR,optuna,XLY,2019-02-01
136,22,6,3,log2,RFR,optuna,XLV,2019-02-01
122,24,6,3,log2,RFR,optuna,XLU,2019-02-01
176,23,6,3,log2,RFR,optuna,VOX,2019-02-01
83,24,2,1,sqrt,RFR,optuna,SPY,2019-03-01
80,12,5,2,log2,RFR,optuna,XLE,2019-03-01
65,26,4,2,log2,RFR,optuna,XLV,2019-03-01
134,26,5,3,sqrt,RFR,optuna,XLK,2019-03-01
111,23,4,3,log2,RFR,optuna,XLB,2019-03-01
184,21,4,3,log2,RFR,optuna,XLI,2019-03-01
167,21,6,1,sqrt,RFR,optuna,XLF,2019-03-01
115,20,3,3,sqrt,RFR,optuna,XLU,2019-03-01
100,17,3,3,log2,RFR,optuna,VOX,2019-03-01
59,20,3,3,sqrt,RFR,optuna,XLP,2019-03-01
198,16,6,3,log2,RFR,optuna,XLY,2019-03-01
198,10,6,3,log2,RFR,optuna,IYR,2019-03-01
58,16,2,2,log2,RFR,optuna,SPY,2019-04-01
99,20,3,3,sqrt,RFR,optuna,XLI,2019-04-01
61,21,4,3,log2,RFR,optuna,XLB,2019-04-01
140,24,6,3,log2,RFR,optuna,XLK,2019-04-01
79,13,4,3,log2,RFR,optuna,XLU,2019-04-01
159,13,3,1,log2,RFR,optuna,XLF,2019-04-01
105,21,5,2,log2,RFR,optuna,XLE,2019-04-01
84,30,2,1,log2,RFR,optuna,XLY,2019-04-01
140,14,6,3,log2,RFR,optuna,XLP,2019-04-01
165,14,6,3,sqrt,RFR,optuna,XLV,2019-04-01
72,23,3,3,sqrt,RFR,optuna,VOX,2019-04-01
198,18,2,3,sqrt,RFR,optuna,IYR,2019-04-01
148,12,3,1,log2,RFR,optuna,SPY,2019-05-01
85,10,3,3,log2,RFR,optuna,XLI,2019-05-01
109,10,5,3,sqrt,RFR,optuna,XLB,2019-05-01
138,10,5,3,log2,RFR,optuna,XLK,2019-05-01
155,12,6,3,log2,RFR,optuna,XLE,2019-05-01
66,25,2,3,log2,RFR,optuna,XLU,2019-05-01
120,14,5,3,sqrt,RFR,optuna,IYR,2019-05-01
135,20,2,3,sqrt,RFR,optuna,XLV,2019-05-01
144,25,3,1,sqrt,RFR,optuna,XLF,2019-05-01
119,13,2,3,sqrt,RFR,optuna,XLY,2019-05-01
162,11,5,3,sqrt,RFR,optuna,VOX,2019-05-01
198,25,4,3,sqrt,RFR,optuna,XLP,2019-05-01
75,26,5,2,log2,RFR,optuna,SPY,2019-06-03
50,26,3,3,sqrt,RFR,optuna,XLK,2019-06-03
57,24,2,3,log2,RFR,optuna,XLE,2019-06-03
80,13,4,3,sqrt,RFR,optuna,XLB,2019-06-03
50,10,4,3,sqrt,RFR,optuna,IYR,2019-06-03
91,27,4,3,log2,RFR,optuna,XLI,2019-06-03
56,26,6,2,sqrt,RFR,optuna,XLP,2019-06-03
