subsample,reg_lambda,reg_alpha,n_estimators,max_depth,learning_rate,gamma,colsample_bytree,Modelo,Metodo,ETF,date
0.6,1,0.1,25,7,0.05,0.5,0.7,XGBR,random,SPY,2019-12-02
0.8,1.5,0.1,25,7,0.05,0,0.7,XGBR,random,XLI,2019-12-02
0.8,1.5,0.1,500,7,0.01,0,0.5,XGBR,random,XLK,2019-12-02
0.6,1,0.1,25,7,0.01,0.5,0.5,XGBR,random,XLY,2019-12-02
0.6,1,0.1,25,7,0.01,0.5,0.5,XGBR,random,XLB,2019-12-02
0.6,1,0.1,25,3,0.05,0,0.7,XGBR,random,XLE,2019-12-02
0.8,1,0,500,3,0.05,0,0.7,XGBR,random,XLF,2019-12-02
0.8,1.5,0.1,25,7,0.05,0,0.7,XGBR,random,XLV,2019-12-02
0.8,1.5,0.1,25,7,0.05,0,0.7,XGBR,random,IYR,2019-12-02
0.8,1.5,0.1,25,7,0.05,0,0.7,XGBR,random,XLU,2019-12-02
0.8,1.5,0.1,25,7,0.05,0,0.7,XGBR,random,XLP,2019-12-02
0.6,1,0.1,25,3,0.05,0,0.7,XGBR,random,VOX,2019-12-02
0.6,1,0.1,25,7,0.05,0.5,0.7,XGBR,random,SPY,2020-01-02
0.6,1,0.1,25,3,0.05,0,0.7,XGBR,random,XLI,2020-01-02
0.8,1.5,0.1,500,7,0.01,0,0.5,XGBR,random,XLK,2020-01-02
0.6,1,0.1,25,3,0.05,0,0.7,XGBR,random,XLY,2020-01-02
0.6,1,0.1,25,7,0.05,0.5,0.7,XGBR,random,XLB,2020-01-02
0.6,1.5,0.1,25,7,0.01,0,0.5,XGBR,random,XLE,2020-01-02
0.8,1.5,0.1,25,7,0.05,0,0.7,XGBR,random,XLU,2020-01-02
0.8,1.5,0.1,25,7,0.05,0,0.7,XGBR,random,XLP,2020-01-02
0.8,1,0,500,7,0.01,0,0.5,XGBR,random,XLF,2020-01-02
0.6,1,0.1,25,3,0.05,0,0.7,XGBR,random,XLV,2020-01-02
0.6,1,0.1,25,3,0.05,0,0.7,XGBR,random,VOX,2020-01-02
0.8,1.5,0.1,500,7,0.01,0,0.5,XGBR,random,IYR,2020-01-02
62,0.07059220837637419,15,0.7541796417713456,0.6326853086059149,0.2560126243900641,0.11082522477423865,1.2500074350201724,XGBR,optuna,XLB,2019-01-03
69,0.0916665617799324,13,0.6108466431091442,0.7473629143337276,0.3993872237430322,0.06944739585224985,1.0353419375287332,XGBR,optuna,XLK,2019-01-03
79,0.09461791537206996,12,0.6710349847059358,0.7097044124312012,0.22566165898672497,0.18568258674045923,1.4083926143004748,XGBR,optuna,SPY,2019-01-03
60,0.06609825649248566,12,0.7947686934297203,0.7683493059050089,0.21600409712117236,0.15417560201687802,1.0409760380832638,XGBR,optuna,XLY,2019-01-03
54,0.06917254134144316,12,0.8509829408618186,0.6554082048691596,0.11344295919976186,0.026265938927862664,1.4044491768596266,XGBR,optuna,XLE,2019-01-03
68,0.051772547024348664,10,0.7067303759701039,0.6034983840587745,0.2050125218614244,0.003604236670052885,1.372036483741526,XGBR,optuna,XLP,2019-01-03
64,0.0997107521891505,5,0.7615109814119968,0.7285487186805257,0.18390677712004527,0.030853784352488693,1.003123868213029,XGBR,optuna,XLF,2019-01-03
84,0.07548439438352578,10,0.8161139135247787,0.685525119162394,0.39481510725623153,0.11875209431613723,1.4367904418355961,XGBR,optuna,XLI,2019-01-03
98,0.0781867710059835,6,0.7075774078046613,0.7384925992425304,0.10720448813171624,0.16606220377766956,1.503904154104751,XGBR,optuna,XLV,2019-01-03
100,0.05355723377573925,15,0.8248941974117474,0.7327036360072646,0.006340457428082952,0.1637906196282218,1.3193994617682532,XGBR,optuna,XLU,2019-01-03
67,0.09445332482144783,9,0.6394767337094353,0.7601450630371372,0.1869070071473356,0.04889953117420448,1.3844877961574271,XGBR,optuna,VOX,2019-01-03
99,0.08178503017746748,5,0.852812224903348,0.7953126824781461,0.49760760576228685,0.01633336365156168,1.4225238337020236,XGBR,optuna,IYR,2019-01-03
58,0.0816204856104082,11,0.7335934044674246,0.7587595843163836,0.2732632767930073,0.1951970323265638,1.0212504823492323,XGBR,optuna,XLB,2019-02-01
81,0.0788872237464357,11,0.7325531464512124,0.7359351959514753,0.16336444035922076,0.4578446318030312,1.2891646833559585,XGBR,optuna,XLE,2019-02-01
60,0.09382537550492881,6,0.6056309167122539,0.7502420929459943,0.30924289972807095,0.0045414772172274,1.3693573413957258,XGBR,optuna,XLP,2019-02-01
75,0.07054377149024288,11,0.7393669437462577,0.6229552922431105,0.43915903927220956,0.1352070948590686,1.409005472115293,XGBR,optuna,XLI,2019-02-01
65,0.08989875151343363,11,0.7367017454903473,0.6575270884398746,0.14634326784226484,0.0014646742750349453,1.5064767890876254,XGBR,optuna,XLF,2019-02-01
89,0.069835798911182,5,0.7097784795045937,0.6238278306638759,0.45452341007786706,0.17827923567580795,1.1894142605591607,XGBR,optuna,XLY,2019-02-01
79,0.05036124097013736,6,0.6878305272229657,0.6698401617266193,0.22111376859097992,0.3035265304862573,1.0058326852524573,XGBR,optuna,SPY,2019-02-01
97,0.05378024065459149,15,0.8478774844046897,0.6066390490253415,0.24797776222698942,0.0444716116735312,1.8930143677214317,XGBR,optuna,XLK,2019-02-01
67,0.0860686255513109,14,0.681141897474582,0.7136172657717069,0.4961622138684359,0.13192696077884306,1.2946825880485873,XGBR,optuna,XLV,2019-02-01
89,0.06988635908852092,15,0.6130768141516426,0.7263757132416501,0.013484291325286443,0.027441407090890154,1.5746365744455186,XGBR,optuna,XLU,2019-02-01
79,0.08042456938440948,13,0.6080187190284305,0.6017404018476505,0.3683385980291743,0.002072879185878229,1.7650609403403323,XGBR,optuna,VOX,2019-02-01
89,0.08223691952825454,13,0.8244305384965703,0.765843303485639,0.26505232787360145,0.03827544277225537,1.853297418603026,XGBR,optuna,IYR,2019-02-01
63,0.09961696880547787,11,0.7267026733547688,0.7662478476882745,0.3822908183874888,0.005132830019382473,1.3432434493432925,XGBR,optuna,XLB,2019-03-01
88,0.05019707308859173,12,0.62044819081647,0.6404494518818915,0.488949886872853,0.15943297292357766,1.8807578392069055,XGBR,optuna,XLI,2019-03-01
54,0.05597932397108841,8,0.6051096422414155,0.6081121061480265,0.2625164123575342,0.03660873656082172,1.4048987683403282,XGBR,optuna,XLK,2019-03-01
82,0.051284817129748084,14,0.8554280827438987,0.7325059919630879,0.3350532735130892,0.2169831783006782,1.1366808451389487,XGBR,optuna,SPY,2019-03-01
51,0.06072189501628816,15,0.8729677925079892,0.6427286526145312,0.4992767268142086,0.4427595872549906,1.4150594132303982,XGBR,optuna,XLE,2019-03-01
82,0.08164612065548822,5,0.7832469301481222,0.7947734510273019,0.04438337056148693,0.046974005005306387,1.4090387223968452,XGBR,optuna,XLP,2019-03-01
87,0.08387999463962276,10,0.7327047956829573,0.6128784632879689,0.1255960601627764,0.053082333103682156,1.7741133806129765,XGBR,optuna,XLF,2019-03-01
89,0.06921003611234113,5,0.6328346321936951,0.654784195578307,0.3934165950636026,0.15432823978457838,1.0177307289321584,XGBR,optuna,XLY,2019-03-01
79,0.06514820264888471,10,0.6854988239104625,0.7928521463745482,0.3271139412343559,0.1779404532914758,1.4798482973730611,XGBR,optuna,XLV,2019-03-01
78,0.0882907234398705,12,0.6149239088556376,0.7246228146360627,0.29730295245425603,0.2236173865126416,1.2545797738246907,XGBR,optuna,XLU,2019-03-01
69,0.09492589869092258,9,0.6960520605747235,0.7979526225702348,0.32439222065894474,0.03518830010908483,1.6796768836775924,XGBR,optuna,VOX,2019-03-01
100,0.05722422442548271,12,0.7880373734292104,0.7340419541993678,0.2986034369940985,0.0007602476669958252,1.6267123764609044,XGBR,optuna,IYR,2019-03-01
58,0.05217056294119233,7,0.6900251822142266,0.7872763753947289,0.26286342828065506,0.383162208713424,1.1853221708278134,XGBR,optuna,XLE,2019-04-01
68,0.08044585560992693,9,0.7971254480829387,0.653285265207326,0.18177007565311915,0.11530110057798898,1.302510286496141,XGBR,optuna,XLI,2019-04-01
68,0.08487656029663652,13,0.6149739856042175,0.6988027229305277,0.21732756331786732,0.001313641849443659,1.0017226689141239,XGBR,optuna,XLB,2019-04-01
67,0.09939246796156709,15,0.6009267426921624,0.6811249822909664,0.37433164068931424,0.0027763076207432055,1.9860835750166712,XGBR,optuna,XLF,2019-04-01
65,0.0810714977566056,15,0.6723361459284357,0.7008001628450113,0.02200367650942625,0.0016455468875937601,1.0241305804836447,XGBR,optuna,XLP,2019-04-01
79,0.05505350513570877,5,0.8001789110153839,0.6250796151742971,0.08577164896805589,0.454434854628877,1.1536736333660316,XGBR,optuna,SPY,2019-04-01
84,0.057682625673689474,9,0.6063905929269298,0.6708662737097368,0.10554303416100376,0.007847100309997967,1.4560748052669952,XGBR,optuna,XLK,2019-04-01
58,0.08789970471416712,10,0.8919864223555098,0.6856728046451864,0.0014913937874394129,0.001888962165644677,1.7721083577314047,XGBR,optuna,VOX,2019-04-01
80,0.05793213516989953,8,0.8509895308038397,0.7026238172883306,0.4961278071745062,0.449482203147188,1.8256563616534371,XGBR,optuna,XLY,2019-04-01
97,0.06941950793137142,12,0.7856687549174236,0.647747211927739,0.383284349911861,0.07712636143109138,1.4812597819906577,XGBR,optuna,XLV,2019-04-01
96,0.09352725450771711,12,0.6347477060620954,0.7299168788021372,0.15580897880951086,0.203036342033296,1.404962774157365,XGBR,optuna,XLU,2019-04-01
99,0.050228152885727635,15,0.8207343152308908,0.7985139567486701,0.31144987892715753,0.00022930397165655246,1.0014964258888701,XGBR,optuna,IYR,2019-04-01
50,0.09968702600763146,12,0.6650321839824093,0.7643984126631514,0.4787360036467002,0.12305961283858372,1.7417800755930068,XGBR,optuna,XLB,2019-05-01
50,0.09687462734800466,8,0.6628223640969244,0.7728041709341882,0.06815396412811908,0.24167915680177177,1.5576730410353106,XGBR,optuna,SPY,2019-05-01
62,0.05063884658959486,13,0.8270517796900804,0.658351367896768,0.0015640678606378133,0.37954690559305515,1.4286096999951776,XGBR,optuna,XLE,2019-05-01
58,0.050287423253132124,8,0.7153626389726314,0.7379080990005942,0.1473064473688982,0.00023474777615056786,1.5869863074258483,XGBR,optuna,XLF,2019-05-01
63,0.0800668894772598,5,0.6803426386062933,0.7369377300891895,0.4822914511163464,0.13712280128454218,1.5719483918323265,XGBR,optuna,XLV,2019-05-01
62,0.05029414032562232,15,0.765305500636769,0.7406719478725116,0.48181728543540175,0.01914561145039649,1.09392304422713,XGBR,optuna,XLP,2019-05-01
