n_estimators,learning_rate,num_leaves,feature_fraction,bagging_fraction,max_depth,reg_alpha,reg_lambda,Modelo,Metodo,ETF,date
224,0.09610234668615757,50,0.7170697168683742,0.7985506238715179,14,0.4971562324274,1.0275548840987379,LGBMR,5,XLE,2022-12-31
284,0.0689569693825825,50,0.7551421653315594,0.6439868319587919,18,0.4883700652675106,1.3738756231993794,LGBMR,5,XLE,2022-12-31
139,0.07142532727702731,40,0.6048601044711107,0.7417511537137278,15,0.49883165707726,1.3762031029653994,LGBMR,5,XLE,2022-12-31
156,0.015348880533529643,38,0.6372069592940054,0.6006739476684771,14,0.4957630786842781,1.007766027055636,LGBMR,5,XLB,2022-12-31
106,0.02441441156974727,42,0.65347764588083,0.7997013153333975,12,0.4834827437237918,1.007189664718905,LGBMR,5,XLB,2022-12-31
237,0.07945278274463038,41,0.6266316379063502,0.6785130693705737,13,0.4985701497850531,1.3987321013025427,LGBMR,5,XLB,2022-12-31
157,0.08293241396983139,45,0.771462972796817,0.7181018867508988,11,0.49015528195189434,1.3160811058237822,LGBMR,5,XLI,2022-12-31
178,0.010086377343208084,34,0.6369388639578691,0.7392288719581286,18,0.49455757614246254,1.4094729191237154,LGBMR,5,XLI,2022-12-31
100,0.02766460461046862,48,0.6017922473044401,0.6311481785514721,13,0.4455436944781581,1.2253734682922701,LGBMR,5,XLI,2022-12-31
154,0.053645625068926846,42,0.6642914280475948,0.7002608196550251,16,0.43799695926927656,1.194016901476959,LGBMR,5,XLE,2022-12-31
105,0.07029837942193284,48,0.7997280447010823,0.7989437312552444,16,0.49866324881032964,1.0148460987687933,LGBMR,5,XLK,2022-12-31
175,0.09703051469898262,50,0.6932466497431372,0.7805018282672986,13,0.4987601225125682,1.1438799961347115,LGBMR,5,XLK,2022-12-31
298,0.01149792890219487,37,0.751852530425823,0.7923698402538638,15,0.49704534056554117,1.0501250774517463,LGBMR,5,XLK,2022-12-31
159,0.010267611613124667,36,0.7960230191968919,0.7692453753420284,16,0.4996498936627881,1.2445503512911342,LGBMR,5,XLI,2022-12-31
298,0.09923316409798022,50,0.6996735745478398,0.6008462839444779,18,0.2882772890302436,1.1300674764704932,LGBMR,5,XLB,2022-12-31
280,0.07106167533039948,44,0.6979498561605979,0.6035067157103774,16,0.45276158030799074,1.3824340088957534,LGBMR,5,XLK,2022-12-31
113,0.014993301999982472,50,0.6622246386939591,0.6332275075562686,13,0.49319642307212475,1.321780565130867,LGBMR,5,XLF,2022-12-31
163,0.014261620517030262,50,0.7322414846909001,0.6006002805496251,15,0.47032234082470886,1.2364498909255295,LGBMR,5,XLF,2022-12-31
115,0.0719992050078833,47,0.6619981780679259,0.6434541797982907,13,0.15210975305642702,1.0194803028608153,LGBMR,5,XLP,2022-12-31
101,0.05925485409748337,32,0.7978347688920244,0.6206237855145592,15,0.3431500167844548,1.3384655506681586,LGBMR,5,XLP,2022-12-31
241,0.010632647279121193,31,0.613760130474881,0.6004714360420199,13,0.4861473460118705,1.0008897716784912,LGBMR,5,XLF,2022-12-31
101,0.010829226083764909,50,0.6555395177613723,0.7311217057607986,14,0.39425249955064023,1.1316941183930096,LGBMR,5,XLP,2022-12-31
100,0.020371948778183532,41,0.79906809880813,0.7897715229293111,12,0.4939611257384295,1.1221758944906997,LGBMR,5,XLY,2022-12-31
173,0.010041754854379501,44,0.6044024955886592,0.7916770514049022,16,0.4984949261509681,1.4968699626321953,LGBMR,5,XLY,2022-12-31
133,0.032368697062677504,48,0.7226341091166548,0.7183398272836132,14,0.4996702281620437,1.2516260153156966,LGBMR,5,XLY,2022-12-31
143,0.011036059886713221,35,0.6269809681722371,0.7607278870652987,15,0.49285660645298357,1.373744947259865,LGBMR,5,XLF,2022-12-31
106,0.07963471215317047,41,0.6569935844690079,0.6321274706709119,17,0.2797229994705116,1.4292076929620192,LGBMR,5,XLV,2022-12-31
183,0.06622723345300507,43,0.7142615619316969,0.7127047919583004,15,0.2648169810551468,1.1340614000113205,LGBMR,5,XLV,2022-12-31
224,0.031308378755927,33,0.7315625678700235,0.7301825809764628,14,0.10122334260542606,1.0028129893359152,LGBMR,5,XLP,2022-12-31
112,0.0762832766653787,50,0.6013610337414346,0.7329808489084113,17,0.4994959831691423,1.176285974937209,LGBMR,5,XLV,2022-12-31
191,0.010052970102618929,50,0.6717347074287101,0.7289745268182871,11,0.49957000138064017,1.3093686237980844,LGBMR,5,XLY,2022-12-31
125,0.03769100815638713,39,0.771369556024303,0.719822963766145,19,0.3072118499725416,1.484574187147657,LGBMR,5,XLU,2022-12-31
252,0.0663660889506735,38,0.7767850630943502,0.6868328765620215,15,0.33928347697771805,1.003140519086427,LGBMR,5,XLU,2022-12-31
118,0.06616798004151848,50,0.602975334281732,0.689039056948989,17,0.2368927195276474,1.1675813758509543,LGBMR,5,XLV,2022-12-31
103,0.0107026318528846,44,0.6968267579268927,0.6018632913852221,15,0.16580859751692542,1.2647462348108411,LGBMR,5,IYR,2022-12-31
223,0.08477989221438652,47,0.7236270424126648,0.6857577609626923,12,0.3463578766553478,1.1591881186808108,LGBMR,5,XLU,2022-12-31
210,0.010764455531257613,43,0.6609497048222871,0.7872283978263676,17,0.331581640868337,1.2073789352862774,LGBMR,5,IYR,2022-12-31
226,0.011506662253877795,41,0.7304023013418799,0.7346141547731847,11,0.2922844029019728,1.1572329896946383,LGBMR,5,IYR,2022-12-31
189,0.014667228653101841,34,0.6434752523902704,0.6312045118430727,14,0.496905185774351,1.3256488627480938,LGBMR,5,VOX,2022-12-31
