date,Rendimiento,Features,Method,ETF,RMSE,model,hyperparam_method,train_period,val_period
2020-01-03,0,10,causal,XLE,0.06848947418056596,XGBR,optuna,36,12
2020-01-03,0,10,causal,XLK,0.05517312021241701,XGBR,optuna,36,12
2020-01-03,0,10,causal,XLB,0.04944205612695648,XGBR,optuna,36,12
2020-01-03,0,10,causal,XLI,0.0582621805290251,XGBR,optuna,36,12
2020-01-03,0,10,causal,XLV,0.0424133146733871,XGBR,optuna,36,12
2020-01-03,0,10,causal,XLP,0.03735193518910829,XGBR,optuna,36,12
2020-01-03,0,10,causal,XLY,0.048955835906307484,XGBR,optuna,36,12
2020-01-03,0,10,causal,VOX,0.04717042842433943,XGBR,optuna,36,12
2020-01-03,0,10,causal,IYR,0.04019350263574298,XGBR,optuna,36,12
2020-01-03,0,10,causal,XLF,0.05956824283028595,XGBR,optuna,36,12
2020-01-03,0,10,causal,XLU,0.02736555184717522,XGBR,optuna,36,12
2020-01-03,0,10,causal,SPY,0.04583356180814611,XGBR,optuna,36,12
2020-02-03,0,10,causal,XLB,0.04845279464687266,XGBR,optuna,36,12
2020-02-03,0,10,causal,XLK,0.048111279015876376,XGBR,optuna,36,12
2020-02-03,0,10,causal,XLI,0.04711253051243858,XGBR,optuna,36,12
2020-02-03,0,10,causal,XLF,0.04876204998564432,XGBR,optuna,36,12
2020-02-03,0,10,causal,XLE,0.0594531496819338,XGBR,optuna,36,12
2020-02-03,0,10,causal,SPY,0.035804182210023607,XGBR,optuna,36,12
2020-02-03,0,10,causal,XLU,0.02859917911168285,XGBR,optuna,36,12
2020-02-03,0,10,causal,IYR,0.03066710997079851,XGBR,optuna,36,12
2020-02-03,0,10,causal,XLV,0.03140554289825997,XGBR,optuna,36,12
2020-02-03,0,10,causal,XLY,0.041181282662320594,XGBR,optuna,36,12
2020-02-03,0,10,causal,XLP,0.02432439848985528,XGBR,optuna,36,12
2020-02-03,0,10,causal,VOX,0.03984853821174179,XGBR,optuna,36,12
2020-03-02,0,10,causal,XLB,0.05386449518831842,XGBR,optuna,36,12
2020-03-02,0,10,causal,XLI,0.050213919466591476,XGBR,optuna,36,12
2020-03-02,0,10,causal,XLE,0.07650130768758467,XGBR,optuna,36,12
2020-03-02,0,10,causal,XLK,0.052337492904229586,XGBR,optuna,36,12
2020-03-02,0,10,causal,XLF,0.05686347123328221,XGBR,optuna,36,12
2020-03-02,0,10,causal,SPY,0.040308577036341574,XGBR,optuna,36,12
2020-03-02,0,10,causal,XLP,0.03142601855693054,XGBR,optuna,36,12
2020-03-02,0,10,causal,XLU,0.041564914354379284,XGBR,optuna,36,12
2020-03-02,0,10,causal,VOX,0.03509056566005551,XGBR,optuna,36,12
2020-03-02,0,10,causal,XLY,0.042864797820371836,XGBR,optuna,36,12
2020-03-02,0,10,causal,IYR,0.030141723075794997,XGBR,optuna,36,12
2020-03-02,0,10,causal,XLV,0.03705499209473873,XGBR,optuna,36,12
2020-04-01,0,10,causal,XLI,0.07728500160768194,XGBR,optuna,36,12
2020-04-01,0,10,causal,XLK,0.05746550601699664,XGBR,optuna,36,12
2020-04-01,0,10,causal,XLF,0.08632414131272768,XGBR,optuna,36,12
2020-04-01,0,10,causal,XLB,0.0694089786829293,XGBR,optuna,36,12
2020-04-01,0,10,causal,XLE,0.14651343568988873,XGBR,optuna,36,12
2020-04-01,0,10,causal,XLP,0.03842768771740477,XGBR,optuna,36,12
2020-04-01,0,10,causal,SPY,0.05657322941459753,XGBR,optuna,36,12
2020-04-01,0,10,causal,XLV,0.03948578079880111,XGBR,optuna,36,12
2020-04-01,0,10,causal,VOX,0.05665781791915856,XGBR,optuna,36,12
2020-04-01,0,10,causal,XLU,0.0514240141916069,XGBR,optuna,36,12
2020-04-01,0,10,causal,XLY,0.06490248452549115,XGBR,optuna,36,12
2020-04-01,0,10,causal,IYR,0.06763878010338513,XGBR,optuna,36,12
2020-05-01,0,10,causal,XLI,0.07990247249351673,XGBR,optuna,36,12
2020-05-01,0,10,causal,XLE,0.16031326967226067,XGBR,optuna,36,12
2020-05-01,0,10,causal,XLF,0.08730332920584419,XGBR,optuna,36,12
2020-05-01,0,10,causal,XLV,0.04958667346169517,XGBR,optuna,36,12
2020-05-01,0,10,causal,XLK,0.06512110446192643,XGBR,optuna,36,12
2020-05-01,0,10,causal,XLU,0.051565182519460975,XGBR,optuna,36,12
2020-05-01,0,10,causal,XLP,0.04182338228601075,XGBR,optuna,36,12
2020-05-01,0,10,causal,XLB,0.07862761885930461,XGBR,optuna,36,12
2020-05-01,0,10,causal,SPY,0.06401004617258581,XGBR,optuna,36,12
2020-05-01,0,10,causal,XLY,0.07558525638212985,XGBR,optuna,36,12
2020-05-01,0,10,causal,IYR,0.07181046758562827,XGBR,optuna,36,12
2020-05-01,0,10,causal,VOX,0.06879599730141127,XGBR,optuna,36,12
2020-01-03,0,10,causal,XLB,0.04916012018249576,LGBMR,optuna,36,12
2020-01-03,0,10,causal,XLE,0.06065556892127928,LGBMR,optuna,36,12
2020-01-03,0,10,causal,XLP,0.03733949469020698,LGBMR,optuna,36,12
2020-01-03,0,10,causal,XLI,0.05826189840915142,LGBMR,optuna,36,12
2020-01-03,0,10,causal,XLK,0.06046617722273083,LGBMR,optuna,36,12
2020-01-03,0,10,causal,XLV,0.04048092099276199,LGBMR,optuna,36,12
2020-01-03,0,10,causal,IYR,0.0386399006136002,LGBMR,optuna,36,12
2020-01-03,0,10,causal,XLU,0.02879873443808067,LGBMR,optuna,36,12
2020-01-03,0,10,causal,XLF,0.05822840904990014,LGBMR,optuna,36,12
2020-01-03,0,10,causal,SPY,0.04594371408039297,LGBMR,optuna,36,12
2020-01-03,0,10,causal,XLY,0.04883182644113733,LGBMR,optuna,36,12
2020-01-03,0,10,causal,VOX,0.04773164814244486,LGBMR,optuna,36,12
2020-02-03,0,10,causal,XLE,0.059305643581254175,LGBMR,optuna,36,12
2020-02-03,0,10,causal,XLI,0.047167361454636667,LGBMR,optuna,36,12
2020-02-03,0,10,causal,XLP,0.02417744382764107,LGBMR,optuna,36,12
2020-02-03,0,10,causal,XLK,0.04933253935568781,LGBMR,optuna,36,12
2020-02-03,0,10,causal,XLB,0.048770985814722605,LGBMR,optuna,36,12
2020-02-03,0,10,causal,XLU,0.028170839282140803,LGBMR,optuna,36,12
2020-02-03,0,10,causal,SPY,0.03597510336011796,LGBMR,optuna,36,12
2020-02-03,0,10,causal,VOX,0.04238110001487942,LGBMR,optuna,36,12
2020-02-03,0,10,causal,XLY,0.04125950719154448,LGBMR,optuna,36,12
2020-02-03,0,10,causal,XLV,0.031098224191648195,LGBMR,optuna,36,12
2020-02-03,0,10,causal,XLF,0.04748985595905264,LGBMR,optuna,36,12
2020-02-03,0,10,causal,IYR,0.03243908217457546,LGBMR,optuna,36,12
2020-03-02,0,10,causal,XLE,0.07793526597007881,LGBMR,optuna,36,12
2020-03-02,0,10,causal,XLB,0.05433608904034716,LGBMR,optuna,36,12
2020-03-02,0,10,causal,XLI,0.050835983354811376,LGBMR,optuna,36,12
2020-03-02,0,10,causal,XLY,0.04056350915735136,LGBMR,optuna,36,12
2020-03-02,0,10,causal,XLU,0.04155903777118082,LGBMR,optuna,36,12
2020-03-02,0,10,causal,XLV,0.03488945231279808,LGBMR,optuna,36,12
2020-03-02,0,10,causal,VOX,0.039122426206657936,LGBMR,optuna,36,12
2020-03-02,0,10,causal,XLF,0.0548371304679304,LGBMR,optuna,36,12
2020-03-02,0,10,causal,IYR,0.029792784806198815,LGBMR,optuna,36,12
2020-03-02,0,10,causal,XLK,0.05327196430144892,LGBMR,optuna,36,12
2020-03-02,0,10,causal,SPY,0.04029485063965844,LGBMR,optuna,36,12
2020-03-02,0,10,causal,XLP,0.02987264280350129,LGBMR,optuna,36,12
2020-04-01,0,10,causal,XLE,0.14219136928605786,LGBMR,optuna,36,12
2020-04-01,0,10,causal,XLB,0.0686994160133643,LGBMR,optuna,36,12
2020-04-01,0,10,causal,XLK,0.057380781358913883,LGBMR,optuna,36,12
2020-04-01,0,10,causal,XLI,0.07704977440133925,LGBMR,optuna,36,12
2020-04-01,0,10,causal,XLF,0.08655990335749422,LGBMR,optuna,36,12
2020-04-01,0,10,causal,XLY,0.061972608445284114,LGBMR,optuna,36,12
2020-04-01,0,10,causal,XLV,0.037911880658250914,LGBMR,optuna,36,12
2020-04-01,0,10,causal,SPY,0.05657220118867339,LGBMR,optuna,36,12
2020-04-01,0,10,causal,VOX,0.05009989356486158,LGBMR,optuna,36,12
2020-04-01,0,10,causal,XLP,0.03266900385676216,LGBMR,optuna,36,12
2020-04-01,0,10,causal,IYR,0.07336678183306439,LGBMR,optuna,36,12
2020-04-01,0,10,causal,XLU,0.05105379372145804,LGBMR,optuna,36,12
2020-05-01,0,10,causal,XLK,0.06534752191878208,LGBMR,optuna,36,12
2020-05-01,0,10,causal,XLE,0.16033578034105714,LGBMR,optuna,36,12
2020-05-01,0,10,causal,XLF,0.08804010636452157,LGBMR,optuna,36,12
2020-05-01,0,10,causal,XLP,0.0384211860805585,LGBMR,optuna,36,12
2020-05-01,0,10,causal,XLI,0.07961152825244813,LGBMR,optuna,36,12
2020-05-01,0,10,causal,XLB,0.076495299909773,LGBMR,optuna,36,12
2020-05-01,0,10,causal,XLU,0.05250082667337844,LGBMR,optuna,36,12
2020-05-01,0,10,causal,XLY,0.07577793638800037,LGBMR,optuna,36,12
2020-05-01,0,10,causal,SPY,0.06339263111555804,LGBMR,optuna,36,12
2020-05-01,0,10,causal,XLV,0.04541664337379599,LGBMR,optuna,36,12
2020-05-01,0,10,causal,IYR,0.07929126048494856,LGBMR,optuna,36,12
2020-05-01,0,10,causal,VOX,0.06695810316266815,LGBMR,optuna,36,12
2020-01-03,0,10,causal,XLI,0.057552482349866235,XGBR,random,36,12
2020-01-03,0,10,causal,XLP,0.03674921660407392,XGBR,random,36,12
2020-01-03,0,10,causal,XLB,0.049436767115951435,XGBR,random,36,12
2020-01-03,0,10,causal,XLK,0.05808331570482472,XGBR,random,36,12
2020-01-03,0,10,causal,XLF,0.05955832719164442,XGBR,random,36,12
2020-01-03,0,10,causal,XLE,0.06938762462711814,XGBR,random,36,12
2020-01-03,0,10,causal,XLY,0.04868320497110408,XGBR,random,36,12
2020-01-03,0,10,causal,VOX,0.04706677033642145,XGBR,random,36,12
2020-01-03,0,10,causal,XLU,0.032379948507876004,XGBR,random,36,12
2020-01-03,0,10,causal,XLV,0.038032161195545824,XGBR,random,36,12
2020-01-03,0,10,causal,SPY,0.04583559618558301,XGBR,random,36,12
2020-01-03,0,10,causal,IYR,0.03686924476626154,XGBR,random,36,12
2020-02-03,0,10,causal,XLB,0.048517469383145446,XGBR,random,36,12
2020-02-03,0,10,causal,XLI,0.046804612623562676,XGBR,random,36,12
2020-02-03,0,10,causal,XLK,0.05025173648242004,XGBR,random,36,12
2020-02-03,0,10,causal,XLE,0.06322975314736005,XGBR,random,36,12
2020-02-03,0,10,causal,XLP,0.025649769048799835,XGBR,random,36,12
2020-02-03,0,10,causal,XLF,0.048319933275524474,XGBR,random,36,12
2020-02-03,0,10,causal,XLV,0.0299840019311736,XGBR,random,36,12
2020-02-03,0,10,causal,XLY,0.03958680017773472,XGBR,random,36,12
2020-02-03,0,10,causal,VOX,0.03944172927909908,XGBR,random,36,12
2020-02-03,0,10,causal,XLU,0.03203691344979319,XGBR,random,36,12
2020-02-03,0,10,causal,SPY,0.0337832109289343,XGBR,random,36,12
2020-02-03,0,10,causal,IYR,0.028423657290518316,XGBR,random,36,12
2020-03-02,0,10,causal,XLP,0.031985484960880564,XGBR,random,36,12
2020-03-02,0,10,causal,XLI,0.050169659390472354,XGBR,random,36,12
2020-03-02,0,10,causal,XLK,0.05357994748354606,XGBR,random,36,12
2020-03-02,0,10,causal,XLB,0.053829146315946264,XGBR,random,36,12
2020-03-02,0,10,causal,XLF,0.05603484167097592,XGBR,random,36,12
2020-03-02,0,10,causal,XLE,0.07658254648541854,XGBR,random,36,12
2020-03-02,0,10,causal,SPY,0.040376165272324564,XGBR,random,36,12
2020-03-02,0,10,causal,XLY,0.04288500875099313,XGBR,random,36,12
2020-03-02,0,10,causal,XLU,0.04333711436888424,XGBR,random,36,12
2020-03-02,0,10,causal,XLV,0.0347163371146822,XGBR,random,36,12
2020-03-02,0,10,causal,VOX,0.03821120489020909,XGBR,random,36,12
2020-03-02,0,10,causal,IYR,0.026850019375478824,XGBR,random,36,12
2020-04-01,0,10,causal,XLI,0.07677454248481091,XGBR,random,36,12
2020-04-01,0,10,causal,XLB,0.06915782247790653,XGBR,random,36,12
2020-04-01,0,10,causal,XLF,0.08410541676429448,XGBR,random,36,12
2020-04-01,0,10,causal,XLK,0.0569113130189728,XGBR,random,36,12
2020-04-01,0,10,causal,XLP,0.03333678791405635,XGBR,random,36,12
2020-04-01,0,10,causal,XLE,0.14356229241984672,XGBR,random,36,12
2020-04-01,0,10,causal,XLY,0.061196510296919734,XGBR,random,36,12
2020-04-01,0,10,causal,XLV,0.03685394613211245,XGBR,random,36,12
2020-04-01,0,10,causal,SPY,0.056392220990279615,XGBR,random,36,12
2020-04-01,0,10,causal,XLU,0.051332275366471086,XGBR,random,36,12
2020-04-01,0,10,causal,VOX,0.0512354060395454,XGBR,random,36,12
2020-04-01,0,10,causal,IYR,0.06726704914952843,XGBR,random,36,12
2020-05-01,0,10,causal,XLI,0.07997696127562214,XGBR,random,36,12
2020-05-01,0,10,causal,XLB,0.07853235505982355,XGBR,random,36,12
2020-05-01,0,10,causal,XLK,0.06464679559153744,XGBR,random,36,12
2020-05-01,0,10,causal,XLF,0.09099386739081602,XGBR,random,36,12
2020-05-01,0,10,causal,XLP,0.03715645441382443,XGBR,random,36,12
2020-05-01,0,10,causal,XLE,0.161599824186998,XGBR,random,36,12
2020-05-01,0,10,causal,XLV,0.047867507812917966,XGBR,random,36,12
2020-05-01,0,10,causal,XLU,0.050379703109045465,XGBR,random,36,12
2020-05-01,0,10,causal,XLY,0.0711609375343432,XGBR,random,36,12
2020-05-01,0,10,causal,SPY,0.06341874819701837,XGBR,random,36,12
2020-05-01,0,10,causal,VOX,0.0660033899975078,XGBR,random,36,12
2020-05-01,0,10,causal,IYR,0.06795733504422033,XGBR,random,36,12
2020-01-03,0,10,causal,XLE,0.0637062444434064,LGBMR,random,36,12
2020-01-03,0,10,causal,XLB,0.04930645099739679,LGBMR,random,36,12
2020-01-03,0,10,causal,XLI,0.05826189840915142,LGBMR,random,36,12
2020-01-03,0,10,causal,XLK,0.06155930729990566,LGBMR,random,36,12
2020-01-03,0,10,causal,XLP,0.03650368903518651,LGBMR,random,36,12
2020-01-03,0,10,causal,XLF,0.05741919881568867,LGBMR,random,36,12
2020-01-03,0,10,causal,XLY,0.05017748391485563,LGBMR,random,36,12
2020-01-03,0,10,causal,XLV,0.042386733658402155,LGBMR,random,36,12
2020-01-03,0,10,causal,XLU,0.02727080125346201,LGBMR,random,36,12
2020-01-03,0,10,causal,VOX,0.04776305661462427,LGBMR,random,36,12
2020-01-03,0,10,causal,SPY,0.04586505960863936,LGBMR,random,36,12
2020-01-03,0,10,causal,IYR,0.03999926964522915,LGBMR,random,36,12
2020-02-03,0,10,causal,XLE,0.06142235968576342,LGBMR,random,36,12
2020-02-03,0,10,causal,XLB,0.048668585494455734,LGBMR,random,36,12
2020-02-03,0,10,causal,XLI,0.04730476888412215,LGBMR,random,36,12
2020-02-03,0,10,causal,XLK,0.05095701410568567,LGBMR,random,36,12
2020-02-03,0,10,causal,XLF,0.0490561217622231,LGBMR,random,36,12
2020-02-03,0,10,causal,XLP,0.02416354242764452,LGBMR,random,36,12
2020-02-03,0,10,causal,XLY,0.040608817265286035,LGBMR,random,36,12
2020-02-03,0,10,causal,XLV,0.031406592752999556,LGBMR,random,36,12
2020-02-03,0,10,causal,XLU,0.028170839282140803,LGBMR,random,36,12
2020-02-03,0,10,causal,VOX,0.04235788550103173,LGBMR,random,36,12
