date,Method,ETF,RMSE
2023-03-01,shap,XLP,0.04883971155162033
2023-03-01,estatico,XLP,0.04442202621118712
2023-03-01,causal,XLY,0.09731568382146699
2023-03-01,shap,XLY,0.09663713504597682
2023-03-01,selectkbest,XLF,0.06577403030248587
2023-03-01,estatico,XLY,0.09600485087646878
2023-03-01,causal,XLV,0.05177624055520021
2023-03-01,estatico,XLV,0.0464011791618158
2023-03-01,shap,XLV,0.048653553661561294
2023-03-01,selectkbest,XLP,0.04834267592658547
2023-03-01,selectkbest,XLY,0.09382115587326412
2023-03-01,shap,XLU,0.059446523885869816
2023-03-01,selectkbest,XLV,0.042921558373106836
2023-03-01,causal,XLU,0.0570648490804853
2023-03-01,estatico,XLU,0.05756694992321005
2023-03-01,shap,IYR,0.0746238453524174
2023-03-01,selectkbest,XLU,0.0557390749264042
2023-03-01,estatico,IYR,0.07371565018798248
2023-03-01,shap,VOX,0.08373175076513079
2023-03-01,causal,IYR,0.07327664137262649
2023-03-01,causal,VOX,0.08307767198087823
2023-03-01,causal,SPY,0.06804802786567615
2023-03-01,selectkbest,IYR,0.07454002271238264
2023-03-01,shap,SPY,0.07218837623329728
2023-03-01,estatico,VOX,0.08567418297633336
2023-03-01,selectkbest,SPY,0.06619351387738463
2023-03-01,estatico,SPY,0.06838825480677675
2023-03-01,selectkbest,VOX,0.08337725717727527
2023-04-03,selectkbest,XLB,0.07221255890123703
2023-04-03,causal,XLB,0.06397226805216215
2023-04-03,estatico,XLI,0.06800637283393984
2023-04-03,estatico,XLE,0.10583275081616067
2023-04-03,causal,XLI,0.06703926985133046
2023-04-03,shap,XLE,0.108925184816847
2023-04-03,shap,XLK,0.08721209191005659
2023-04-03,estatico,XLB,0.07519241717647665
2023-04-03,shap,XLB,0.07004505132355063
2023-04-03,causal,XLE,0.104714544632824
2023-04-03,selectkbest,XLE,0.10363286007787428
2023-04-03,shap,XLI,0.06682105150184602
2023-04-03,causal,XLK,0.08942442864935778
2023-04-03,estatico,XLK,0.09051675601490762
2023-04-03,selectkbest,XLI,0.06920001023957824
2023-04-03,selectkbest,XLK,0.08773967563746109
2023-04-03,shap,XLF,0.07401087220937767
2023-04-03,causal,XLF,0.076045281304622
2023-04-03,estatico,XLF,0.07628193651723043
2023-04-03,causal,XLP,0.04901805980853383
2023-04-03,shap,XLP,0.049621383834275425
2023-04-03,estatico,XLP,0.04476140872371072
2023-04-03,shap,XLY,0.09577620455545977
2023-04-03,estatico,XLY,0.09487608219668467
2023-04-03,selectkbest,XLF,0.07478104314613399
2023-04-03,causal,XLY,0.0983882111310277
2023-04-03,shap,XLV,0.04919577385786462
2023-04-03,causal,XLV,0.04576013132972221
2023-04-03,estatico,XLV,0.046283627983405365
2023-04-03,selectkbest,XLP,0.048208621039340344
2023-04-03,selectkbest,XLY,0.09334047106506392
2023-04-03,shap,XLU,0.05551473132424211
2023-04-03,causal,XLU,0.0603439914709862
2023-04-03,selectkbest,XLV,0.042363566328728015
2023-04-03,estatico,XLU,0.05853190484534434
2023-04-03,shap,IYR,0.07628699435190055
2023-04-03,causal,IYR,0.0722133385608371
2023-04-03,selectkbest,XLU,0.0551802684505582
2023-04-03,estatico,IYR,0.07121795288883931
2023-04-03,shap,VOX,0.0842532835650584
2023-04-03,causal,VOX,0.08373652150001104
2023-04-03,causal,SPY,0.06798622791033608
2023-04-03,estatico,VOX,0.0856093075774233
2023-04-03,selectkbest,IYR,0.07209602631467697
2023-04-03,shap,SPY,0.07025516038745742
2023-04-03,estatico,SPY,0.06822723647725008
2023-04-03,selectkbest,VOX,0.08312266741296277
2023-04-03,selectkbest,SPY,0.06834237418422233
2023-05-01,causal,XLB,0.07037156775131845
2023-05-01,estatico,XLI,0.07140302776867548
2023-05-01,shap,XLB,0.06910147976453959
2023-05-01,causal,XLI,0.06883293828696077
2023-05-01,estatico,XLK,0.08977988121606024
2023-05-01,causal,XLE,0.10069326903744583
2023-05-01,estatico,XLE,0.10298143047532009
2023-05-01,causal,XLK,0.08566037647867922
2023-05-01,selectkbest,XLI,0.06795959594247508
2023-05-01,shap,XLK,0.08609410391230063
2023-05-01,selectkbest,XLE,0.10214736515896003
2023-05-01,shap,XLI,0.06817804228337461
2023-05-01,shap,XLE,0.10163510660043844
2023-05-01,estatico,XLB,0.07450181281446304
2023-05-01,selectkbest,XLB,0.06926678604764472
2023-05-01,selectkbest,XLK,0.08768545484392412
2023-05-01,shap,XLF,0.07539361260676425
2023-05-01,estatico,XLF,0.07616484150530183
