n_estimators,learning_rate,num_leaves,feature_fraction,bagging_fraction,max_depth,reg_alpha,reg_lambda,Modelo,Metodo,ETF,date
103,0.04870794480979821,34,0.7033343762178389,0.7249825250641683,12,0.11650554397581095,1.2847809028939268,LGBMR,5,XLE,2018-12-31
72,19,3,1,sqrt,RFR,5,VOX,2019-01-31
109,14,3,3,log2,RFR,5,SPY,2019-01-31
51,26,3,1,log2,RFR,5,XLB,2019-02-28
88,15,3,2,log2,RFR,5,XLI,2019-02-28
55,15,3,2,sqrt,RFR,5,XLK,2019-02-28
105,30,2,2,log2,RFR,5,XLI,2019-02-28
189,28,4,3,sqrt,RFR,5,XLB,2019-02-28
195,22,5,2,log2,RFR,5,XLE,2019-02-28
200,17,5,1,sqrt,RFR,5,XLE,2019-02-28
74,10,4,1,log2,RFR,5,XLF,2019-02-28
122,27,2,3,log2,RFR,5,XLE,2019-02-28
51,22,3,3,log2,RFR,5,XLP,2019-02-28
126,10,6,3,log2,RFR,5,XLB,2019-02-28
115,10,3,2,log2,RFR,5,XLF,2019-02-28
188,26,6,2,sqrt,RFR,5,XLK,2019-02-28
51,21,5,3,log2,RFR,5,XLK,2019-02-28
114,22,4,3,log2,RFR,5,XLI,2019-02-28
74,15,5,2,sqrt,RFR,5,XLF,2019-02-28
146,30,2,3,sqrt,RFR,5,XLP,2019-02-28
96,15,5,3,sqrt,RFR,5,XLV,2019-02-28
55,26,5,1,log2,RFR,5,XLY,2019-02-28
102,17,3,1,sqrt,RFR,5,XLY,2019-02-28
89,22,6,3,log2,RFR,5,XLV,2019-02-28
198,19,3,3,sqrt,RFR,5,XLY,2019-02-28
72,13,6,3,log2,RFR,5,IYR,2019-02-28
143,15,4,1,sqrt,RFR,5,XLU,2019-02-28
101,13,3,1,log2,RFR,5,VOX,2019-02-28
56,29,4,3,log2,RFR,5,XLV,2019-02-28
171,19,5,1,sqrt,RFR,5,XLP,2019-02-28
185,17,2,1,sqrt,RFR,5,XLU,2019-02-28
199,10,3,3,sqrt,RFR,5,IYR,2019-02-28
54,26,3,3,sqrt,RFR,5,IYR,2019-02-28
104,16,4,3,log2,RFR,5,VOX,2019-02-28
160,16,6,1,log2,RFR,5,XLU,2019-02-28
80,14,6,3,sqrt,RFR,5,SPY,2019-02-28
122,30,2,1,log2,RFR,5,VOX,2019-02-28
84,28,3,1,sqrt,RFR,5,SPY,2019-02-28
141,26,5,3,log2,RFR,5,SPY,2019-02-28
68,10,5,3,log2,RFR,5,XLE,2019-03-31
60,30,3,3,sqrt,RFR,5,XLI,2019-03-31
86,28,5,1,sqrt,RFR,5,XLB,2019-03-31
75,19,5,3,log2,RFR,5,XLI,2019-03-31
122,29,4,1,sqrt,RFR,5,XLE,2019-03-31
50,30,3,3,log2,RFR,5,XLF,2019-03-31
115,26,2,2,sqrt,RFR,5,XLK,2019-03-31
200,14,3,3,log2,RFR,5,XLB,2019-03-31
162,18,3,3,sqrt,RFR,5,XLK,2019-03-31
115,16,2,3,sqrt,RFR,5,XLE,2019-03-31
109,10,5,3,sqrt,RFR,5,XLB,2019-03-31
64,27,5,3,sqrt,RFR,5,XLP,2019-03-31
180,20,5,2,log2,RFR,5,XLF,2019-03-31
52,19,6,2,log2,RFR,5,XLI,2019-03-31
113,21,5,3,sqrt,RFR,5,XLK,2019-03-31
144,26,2,3,log2,RFR,5,XLF,2019-03-31
54,30,2,1,sqrt,RFR,5,XLY,2019-03-31
95,13,3,1,sqrt,RFR,5,XLY,2019-03-31
52,23,5,2,log2,RFR,5,XLV,2019-03-31
72,19,5,1,log2,RFR,5,XLY,2019-03-31
134,10,2,3,log2,RFR,5,XLP,2019-03-31
119,23,6,3,sqrt,RFR,5,XLV,2019-03-31
51,29,2,3,sqrt,RFR,5,XLP,2019-03-31
83,21,3,1,log2,RFR,5,XLU,2019-03-31
64,17,4,2,log2,RFR,5,IYR,2019-03-31
194,25,4,2,log2,RFR,5,XLU,2019-03-31
90,30,2,3,log2,RFR,5,XLV,2019-03-31
112,18,6,2,sqrt,RFR,5,IYR,2019-03-31
124,15,2,3,sqrt,RFR,5,VOX,2019-03-31
53,24,6,1,sqrt,RFR,5,XLU,2019-03-31
77,17,3,2,sqrt,RFR,5,VOX,2019-03-31
59,13,3,3,sqrt,RFR,5,IYR,2019-03-31
134,20,5,1,sqrt,RFR,5,SPY,2019-03-31
50,10,3,3,sqrt,RFR,5,SPY,2019-03-31
111,28,6,1,log2,RFR,5,VOX,2019-03-31
117,30,5,3,sqrt,RFR,5,SPY,2019-03-31
83,18,4,3,sqrt,RFR,5,XLE,2019-04-30
64,16,3,2,sqrt,RFR,5,XLE,2019-04-30
50,25,6,3,sqrt,RFR,5,XLI,2019-04-30
130,10,5,1,log2,RFR,5,XLB,2019-04-30
106,27,3,3,log2,RFR,5,XLI,2019-04-30
117,21,5,1,log2,RFR,5,XLK,2019-04-30
79,30,3,2,log2,RFR,5,XLF,2019-04-30
73,22,3,3,sqrt,RFR,5,XLF,2019-04-30
97,11,4,2,log2,RFR,5,XLK,2019-04-30
200,23,2,2,log2,RFR,5,XLB,2019-04-30
56,24,5,3,sqrt,RFR,5,XLB,2019-04-30
109,14,5,3,sqrt,RFR,5,XLE,2019-04-30
100,12,3,1,log2,RFR,5,XLP,2019-04-30
120,29,2,3,sqrt,RFR,5,XLI,2019-04-30
167,14,6,3,log2,RFR,5,XLF,2019-04-30
177,16,3,3,log2,RFR,5,XLK,2019-04-30
106,26,4,2,log2,RFR,5,XLP,2019-04-30
109,16,5,1,log2,RFR,5,XLY,2019-04-30
73,13,2,3,log2,RFR,5,XLV,2019-04-30
105,20,6,1,log2,RFR,5,XLP,2019-04-30
74,18,2,3,log2,RFR,5,XLU,2019-04-30
86,10,2,1,sqrt,RFR,5,XLY,2019-04-30
60,19,5,3,log2,RFR,5,XLV,2019-04-30
102,25,4,2,log2,RFR,5,IYR,2019-04-30
72,20,5,2,sqrt,RFR,5,IYR,2019-04-30
139,26,5,1,log2,RFR,5,XLU,2019-04-30
54,20,3,3,log2,RFR,5,XLY,2019-04-30
67,20,4,1,log2,RFR,5,XLU,2019-04-30
119,14,6,3,sqrt,RFR,5,XLV,2019-04-30
108,20,4,3,sqrt,RFR,5,VOX,2019-04-30
58,30,2,3,log2,RFR,5,IYR,2019-04-30
160,18,4,1,sqrt,RFR,5,VOX,2019-04-30
128,24,2,1,log2,RFR,5,SPY,2019-04-30
85,20,3,3,sqrt,RFR,5,VOX,2019-04-30
131,26,2,3,sqrt,RFR,5,SPY,2019-04-30
100,13,3,3,sqrt,RFR,5,SPY,2019-04-30
152,20,5,1,log2,RFR,5,XLE,2019-05-31
102,12,3,1,log2,RFR,5,XLB,2019-05-31
152,27,6,3,sqrt,RFR,5,XLE,2019-05-31
84,25,3,3,log2,RFR,5,XLI,2019-05-31
80,19,3,2,sqrt,RFR,5,XLF,2019-05-31
200,18,3,3,log2,RFR,5,XLB,2019-05-31
102,30,4,3,sqrt,RFR,5,XLF,2019-05-31
173,25,3,2,sqrt,RFR,5,XLK,2019-05-31
135,27,2,1,log2,RFR,5,XLK,2019-05-31
200,28,3,3,log2,RFR,5,XLI,2019-05-31
90,17,2,1,log2,RFR,5,XLP,2019-05-31
152,23,2,1,log2,RFR,5,XLB,2019-05-31
175,14,4,3,sqrt,RFR,5,XLE,2019-05-31
132,24,5,3,sqrt,RFR,5,XLK,2019-05-31
170,14,5,3,sqrt,RFR,5,XLI,2019-05-31
160,14,5,2,log2,RFR,5,XLF,2019-05-31
60,16,2,2,log2,RFR,5,XLP,2019-05-31
108,14,3,2,log2,RFR,5,XLY,2019-05-31
50,30,3,3,sqrt,RFR,5,XLV,2019-05-31
53,19,2,3,sqrt,RFR,5,XLV,2019-05-31
141,13,5,2,log2,RFR,5,XLY,2019-05-31
109,15,3,2,log2,RFR,5,XLU,2019-05-31
51,10,6,2,log2,RFR,5,XLU,2019-05-31
116,15,2,3,log2,RFR,5,XLP,2019-05-31
108,17,4,2,log2,RFR,5,IYR,2019-05-31
145,12,6,1,log2,RFR,5,XLY,2019-05-31
67,27,5,3,sqrt,RFR,5,XLU,2019-05-31
98,12,5,3,sqrt,RFR,5,VOX,2019-05-31
200,26,2,2,sqrt,RFR,5,IYR,2019-05-31
159,19,2,2,log2,RFR,5,XLV,2019-05-31
50,11,6,1,log2,RFR,5,SPY,2019-05-31
155,22,5,2,log2,RFR,5,VOX,2019-05-31
199,17,3,3,sqrt,RFR,5,IYR,2019-05-31
171,30,3,2,log2,RFR,5,SPY,2019-05-31
80,16,6,2,log2,RFR,5,SPY,2019-05-31
176,25,2,3,log2,RFR,5,VOX,2019-05-31
86,28,5,2,log2,RFR,5,XLE,2019-06-30
108,11,4,1,sqrt,RFR,5,XLB,2019-06-30
100,22,5,3,log2,RFR,5,XLB,2019-06-30
168,10,3,2,log2,RFR,5,XLE,2019-06-30
88,14,3,1,sqrt,RFR,5,XLK,2019-06-30
103,30,2,1,sqrt,RFR,5,XLK,2019-06-30
178,21,5,3,log2,RFR,5,XLI,2019-06-30
175,17,5,3,sqrt,RFR,5,XLI,2019-06-30
159,28,4,3,log2,RFR,5,XLF,2019-06-30
167,26,2,3,log2,RFR,5,XLF,2019-06-30
200,17,5,3,sqrt,RFR,5,XLE,2019-06-30
167,27,4,1,sqrt,RFR,5,XLP,2019-06-30
74,12,6,3,sqrt,RFR,5,XLF,2019-06-30
111,13,2,3,sqrt,RFR,5,XLK,2019-06-30
200,23,6,3,sqrt,RFR,5,XLB,2019-06-30
171,15,2,3,log2,RFR,5,XLI,2019-06-30
51,25,3,1,sqrt,RFR,5,XLY,2019-06-30
153,16,3,1,log2,RFR,5,XLP,2019-06-30
105,29,6,3,log2,RFR,5,XLY,2019-06-30
51,14,4,1,sqrt,RFR,5,XLV,2019-06-30
127,12,4,2,sqrt,RFR,5,XLV,2019-06-30
135,30,6,3,sqrt,RFR,5,XLP,2019-06-30
64,12,6,2,sqrt,RFR,5,VOX,2019-06-30
53,30,5,2,log2,RFR,5,VOX,2019-06-30
66,26,6,3,log2,RFR,5,IYR,2019-06-30
200,30,6,1,sqrt,RFR,5,XLY,2019-06-30
144,22,5,3,log2,RFR,5,IYR,2019-06-30
200,23,3,2,log2,RFR,5,XLU,2019-06-30
198,20,5,2,sqrt,RFR,5,XLU,2019-06-30
149,13,6,3,log2,RFR,5,XLV,2019-06-30
141,30,4,3,log2,RFR,5,VOX,2019-06-30
184,15,5,3,sqrt,RFR,5,XLU,2019-06-30
148,28,5,2,sqrt,RFR,5,SPY,2019-06-30
198,22,4,2,sqrt,RFR,5,SPY,2019-06-30
199,13,3,3,log2,RFR,5,IYR,2019-06-30
145,30,6,2,sqrt,RFR,5,SPY,2019-06-30
88,25,2,3,log2,RFR,5,XLE,2019-07-31
199,13,6,1,sqrt,RFR,5,XLE,2019-07-31
61,23,2,3,log2,RFR,5,XLI,2019-07-31
88,17,5,3,sqrt,RFR,5,XLB,2019-07-31
137,30,5,3,sqrt,RFR,5,XLB,2019-07-31
96,24,5,1,log2,RFR,5,XLK,2019-07-31
72,15,2,2,log2,RFR,5,XLF,2019-07-31
182,29,3,3,log2,RFR,5,XLI,2019-07-31
99,26,3,3,log2,RFR,5,XLF,2019-07-31
72,14,3,2,log2,RFR,5,XLE,2019-07-31
76,26,3,3,log2,RFR,5,XLP,2019-07-31
163,24,5,1,log2,RFR,5,XLK,2019-07-31
50,26,3,3,sqrt,RFR,5,XLK,2019-07-31
126,21,3,3,sqrt,RFR,5,XLB,2019-07-31
171,18,4,3,log2,RFR,5,XLI,2019-07-31
169,30,5,3,sqrt,RFR,5,XLF,2019-07-31
54,20,4,2,sqrt,RFR,5,XLP,2019-07-31
120,29,6,2,sqrt,RFR,5,XLY,2019-07-31
104,17,5,3,sqrt,RFR,5,XLV,2019-07-31
90,25,5,3,sqrt,RFR,5,XLV,2019-07-31
104,10,3,1,log2,RFR,5,XLU,2019-07-31
90,10,5,2,sqrt,RFR,5,XLP,2019-07-31
99,23,4,2,sqrt,RFR,5,XLU,2019-07-31
200,21,5,2,sqrt,RFR,5,XLY,2019-07-31
153,15,5,3,log2,RFR,5,IYR,2019-07-31
159,16,3,3,log2,RFR,5,XLY,2019-07-31
55,21,6,2,sqrt,RFR,5,XLU,2019-07-31
158,25,3,3,sqrt,RFR,5,IYR,2019-07-31
165,20,5,3,log2,RFR,5,VOX,2019-07-31
165,20,6,3,sqrt,RFR,5,XLV,2019-07-31
150,25,5,3,sqrt,RFR,5,VOX,2019-07-31
191,19,3,3,log2,RFR,5,IYR,2019-07-31
113,19,4,3,log2,RFR,5,SPY,2019-07-31
134,14,3,3,sqrt,RFR,5,SPY,2019-07-31
161,25,6,3,sqrt,RFR,5,VOX,2019-07-31
152,16,2,3,log2,RFR,5,SPY,2019-07-31
100,12,3,2,log2,RFR,5,XLE,2019-08-31
183,27,3,1,sqrt,RFR,5,XLE,2019-08-31
104,22,4,3,sqrt,RFR,5,XLI,2019-08-31
134,22,4,3,sqrt,RFR,5,XLB,2019-08-31
107,12,2,1,sqrt,RFR,5,XLK,2019-08-31
64,25,2,2,log2,RFR,5,XLK,2019-08-31
199,19,2,1,log2,RFR,5,XLB,2019-08-31
58,17,4,2,log2,RFR,5,XLI,2019-08-31
102,14,5,2,sqrt,RFR,5,XLF,2019-08-31
116,16,2,3,sqrt,RFR,5,XLB,2019-08-31
132,17,5,3,log2,RFR,5,XLE,2019-08-31
50,22,4,3,log2,RFR,5,XLK,2019-08-31
131,21,6,1,sqrt,RFR,5,XLP,2019-08-31
172,16,2,2,sqrt,RFR,5,XLF,2019-08-31
115,18,4,3,log2,RFR,5,XLI,2019-08-31
