n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,Modelo,Metodo,ETF,date
62,29,3,3,log2,RFR,5,XLF,2023-06-30
187,24,4,3,sqrt,RFR,5,XLV,2023-06-30
139,16,2,3,log2,RFR,5,XLV,2023-06-30
178,14,5,3,sqrt,RFR,5,XLP,2023-06-30
57,28,3,3,log2,RFR,5,XLU,2023-06-30
63,25,5,2,sqrt,RFR,5,XLU,2023-06-30
134,16,4,3,log2,RFR,5,XLY,2023-06-30
190,25,6,3,log2,RFR,5,XLV,2023-06-30
53,22,3,2,log2,RFR,5,IYR,2023-06-30
50,10,4,3,log2,RFR,5,IYR,2023-06-30
79,16,2,3,sqrt,RFR,5,XLU,2023-06-30
175,24,3,3,sqrt,RFR,5,XLV,2023-06-30
154,10,3,1,log2,RFR,5,XLU,2023-06-30
105,18,3,3,sqrt,RFR,5,IYR,2023-06-30
134,30,5,3,log2,RFR,5,VOX,2023-06-30
54,20,6,2,log2,RFR,5,VOX,2023-06-30
51,10,3,1,log2,RFR,5,SPY,2023-06-30
51,13,4,3,log2,RFR,5,SPY,2023-06-30
180,10,3,3,log2,RFR,5,VOX,2023-06-30
55,11,5,2,sqrt,RFR,5,IYR,2023-06-30
170,29,5,2,sqrt,RFR,5,SPY,2023-06-30
156,30,6,3,log2,RFR,5,VOX,2023-06-30
147,28,5,1,sqrt,RFR,5,SPY,2023-06-30
58,11,2,3,log2,RFR,5,XLB,2023-07-31
76,22,6,3,log2,RFR,5,XLB,2023-07-31
176,12,2,3,sqrt,RFR,5,XLE,2023-07-31
116,11,3,3,log2,RFR,5,XLB,2023-07-31
50,14,3,2,sqrt,RFR,5,XLK,2023-07-31
170,23,2,3,log2,RFR,5,XLE,2023-07-31
99,10,6,2,sqrt,RFR,5,XLI,2023-07-31
89,28,3,2,log2,RFR,5,XLK,2023-07-31
197,13,5,3,log2,RFR,5,XLE,2023-07-31
154,20,6,2,log2,RFR,5,XLI,2023-07-31
164,25,5,3,sqrt,RFR,5,XLK,2023-07-31
69,12,5,3,sqrt,RFR,5,XLB,2023-07-31
199,10,5,3,log2,RFR,5,XLI,2023-07-31
183,29,3,3,log2,RFR,5,XLE,2023-07-31
161,25,3,3,log2,RFR,5,XLI,2023-07-31
156,24,5,3,log2,RFR,5,XLK,2023-07-31
125,24,6,3,log2,RFR,5,XLF,2023-07-31
170,24,2,2,sqrt,RFR,5,XLF,2023-07-31
64,18,4,2,log2,RFR,5,XLP,2023-07-31
68,29,3,2,sqrt,RFR,5,XLP,2023-07-31
63,29,6,1,log2,RFR,5,XLF,2023-07-31
155,20,5,1,sqrt,RFR,5,XLY,2023-07-31
165,25,2,2,sqrt,RFR,5,XLP,2023-07-31
59,16,3,3,log2,RFR,5,XLY,2023-07-31
64,19,6,2,log2,RFR,5,XLF,2023-07-31
150,25,5,3,log2,RFR,5,XLV,2023-07-31
153,21,6,3,sqrt,RFR,5,XLV,2023-07-31
199,10,4,3,sqrt,RFR,5,XLY,2023-07-31
61,28,3,2,log2,RFR,5,XLY,2023-07-31
187,14,2,3,log2,RFR,5,XLP,2023-07-31
180,26,3,2,sqrt,RFR,5,XLV,2023-07-31
51,30,2,3,log2,RFR,5,XLU,2023-07-31
104,26,3,3,log2,RFR,5,XLU,2023-07-31
51,30,6,2,log2,RFR,5,IYR,2023-07-31
165,18,4,2,sqrt,RFR,5,XLU,2023-07-31
108,17,5,2,sqrt,RFR,5,IYR,2023-07-31
78,23,4,3,log2,RFR,5,VOX,2023-07-31
191,25,3,3,log2,RFR,5,XLV,2023-07-31
65,25,6,3,sqrt,RFR,5,XLU,2023-07-31
100,10,3,3,log2,RFR,5,IYR,2023-07-31
86,19,4,3,sqrt,RFR,5,VOX,2023-07-31
177,17,3,3,log2,RFR,5,VOX,2023-07-31
69,21,6,2,log2,RFR,5,SPY,2023-07-31
157,30,4,3,log2,RFR,5,SPY,2023-07-31
139,20,3,2,log2,RFR,5,IYR,2023-07-31
105,19,5,2,sqrt,RFR,5,SPY,2023-07-31
98,17,4,3,log2,RFR,5,VOX,2023-07-31
166,13,3,1,sqrt,RFR,5,SPY,2023-07-31
92,10,3,3,log2,RFR,5,XLB,2023-08-31
200,22,6,3,log2,RFR,5,XLE,2023-08-31
172,16,3,3,log2,RFR,5,XLE,2023-08-31
50,17,2,2,log2,RFR,5,XLI,2023-08-31
105,30,3,3,sqrt,RFR,5,XLB,2023-08-31
65,16,5,3,sqrt,RFR,5,XLI,2023-08-31
83,25,2,3,log2,RFR,5,XLI,2023-08-31
199,13,4,3,log2,RFR,5,XLE,2023-08-31
170,26,5,3,log2,RFR,5,XLB,2023-08-31
67,30,6,3,log2,RFR,5,XLB,2023-08-31
186,24,3,3,sqrt,RFR,5,XLK,2023-08-31
179,17,2,3,log2,RFR,5,XLK,2023-08-31
198,20,3,3,sqrt,RFR,5,XLE,2023-08-31
176,15,5,3,log2,RFR,5,XLK,2023-08-31
143,12,5,3,log2,RFR,5,XLI,2023-08-31
155,16,2,3,sqrt,RFR,5,XLK,2023-08-31
58,15,5,3,log2,RFR,5,XLF,2023-08-31
50,30,5,3,log2,RFR,5,XLF,2023-08-31
64,14,6,1,log2,RFR,5,XLF,2023-08-31
103,12,5,3,log2,RFR,5,XLP,2023-08-31
173,25,6,2,log2,RFR,5,XLP,2023-08-31
131,13,5,2,log2,RFR,5,XLY,2023-08-31
199,17,4,3,log2,RFR,5,XLP,2023-08-31
165,12,6,3,sqrt,RFR,5,XLF,2023-08-31
127,13,4,1,log2,RFR,5,XLY,2023-08-31
169,30,5,3,log2,RFR,5,XLV,2023-08-31
200,22,2,3,log2,RFR,5,XLY,2023-08-31
172,27,6,3,sqrt,RFR,5,XLP,2023-08-31
185,12,3,3,sqrt,RFR,5,XLV,2023-08-31
68,16,5,3,sqrt,RFR,5,XLV,2023-08-31
86,18,6,3,log2,RFR,5,XLU,2023-08-31
199,18,4,3,log2,RFR,5,XLY,2023-08-31
190,14,6,2,sqrt,RFR,5,XLU,2023-08-31
51,21,6,3,sqrt,RFR,5,IYR,2023-08-31
143,18,2,2,log2,RFR,5,XLU,2023-08-31
50,10,2,3,sqrt,RFR,5,IYR,2023-08-31
65,20,2,3,log2,RFR,5,XLU,2023-08-31
199,27,3,3,sqrt,RFR,5,XLV,2023-08-31
53,17,4,2,sqrt,RFR,5,IYR,2023-08-31
81,14,5,3,log2,RFR,5,VOX,2023-08-31
80,25,4,1,log2,RFR,5,IYR,2023-08-31
156,28,2,3,log2,RFR,5,VOX,2023-08-31
82,24,3,3,log2,RFR,5,SPY,2023-08-31
50,16,4,3,log2,RFR,5,SPY,2023-08-31
182,20,4,3,sqrt,RFR,5,VOX,2023-08-31
200,20,3,3,log2,RFR,5,VOX,2023-08-31
136,10,4,2,sqrt,RFR,5,SPY,2023-08-31
176,14,5,2,sqrt,RFR,5,SPY,2023-08-31
97,19,4,3,log2,RFR,5,XLE,2023-09-30
64,21,4,3,log2,RFR,5,XLB,2023-09-30
66,25,5,3,sqrt,RFR,5,XLB,2023-09-30
52,28,4,3,log2,RFR,5,XLI,2023-09-30
64,13,3,3,sqrt,RFR,5,XLI,2023-09-30
173,20,6,3,log2,RFR,5,XLE,2023-09-30
97,18,2,3,sqrt,RFR,5,XLB,2023-09-30
54,20,3,3,log2,RFR,5,XLI,2023-09-30
105,23,6,3,log2,RFR,5,XLK,2023-09-30
199,30,3,3,log2,RFR,5,XLE,2023-09-30
83,13,5,3,sqrt,RFR,5,XLB,2023-09-30
173,25,2,3,log2,RFR,5,XLK,2023-09-30
173,17,3,3,sqrt,RFR,5,XLK,2023-09-30
189,10,6,3,sqrt,RFR,5,XLE,2023-09-30
96,23,2,3,sqrt,RFR,5,XLK,2023-09-30
173,25,4,2,log2,RFR,5,XLI,2023-09-30
89,16,5,3,log2,RFR,5,XLF,2023-09-30
60,16,5,3,log2,RFR,5,XLF,2023-09-30
71,25,3,2,sqrt,RFR,5,XLF,2023-09-30
103,14,5,3,log2,RFR,5,XLP,2023-09-30
58,10,5,3,log2,RFR,5,XLP,2023-09-30
116,25,5,3,log2,RFR,5,XLP,2023-09-30
71,23,4,1,log2,RFR,5,XLY,2023-09-30
117,29,2,3,log2,RFR,5,XLF,2023-09-30
51,14,3,2,log2,RFR,5,XLP,2023-09-30
164,19,3,1,sqrt,RFR,5,XLY,2023-09-30
91,18,3,3,log2,RFR,5,XLV,2023-09-30
50,30,2,3,sqrt,RFR,5,XLV,2023-09-30
200,30,5,3,sqrt,RFR,5,XLY,2023-09-30
165,16,3,3,sqrt,RFR,5,XLV,2023-09-30
114,24,4,3,log2,RFR,5,XLY,2023-09-30
99,18,2,3,log2,RFR,5,XLU,2023-09-30
154,10,5,3,log2,RFR,5,XLV,2023-09-30
173,25,3,3,sqrt,RFR,5,XLU,2023-09-30
112,26,4,3,sqrt,RFR,5,IYR,2023-09-30
181,30,4,3,sqrt,RFR,5,XLU,2023-09-30
113,12,6,3,log2,RFR,5,IYR,2023-09-30
76,21,2,3,sqrt,RFR,5,XLU,2023-09-30
75,30,2,3,sqrt,RFR,5,IYR,2023-09-30
69,10,3,3,sqrt,RFR,5,IYR,2023-09-30
82,21,3,2,log2,RFR,5,VOX,2023-09-30
171,30,3,3,log2,RFR,5,VOX,2023-09-30
62,16,4,2,log2,RFR,5,SPY,2023-09-30
77,25,3,3,sqrt,RFR,5,VOX,2023-09-30
199,27,6,3,log2,RFR,5,VOX,2023-09-30
66,10,3,2,log2,RFR,5,SPY,2023-09-30
172,24,2,3,log2,RFR,5,SPY,2023-09-30
182,30,5,3,log2,RFR,5,SPY,2023-09-30
76,20,4,3,sqrt,RFR,5,XLB,2023-10-31
67,21,4,3,log2,RFR,5,XLB,2023-10-31
83,23,4,3,log2,RFR,5,XLE,2023-10-31
70,18,5,2,sqrt,RFR,5,XLB,2023-10-31
50,26,3,1,log2,RFR,5,XLI,2023-10-31
142,13,6,1,sqrt,RFR,5,XLI,2023-10-31
99,18,5,2,log2,RFR,5,XLK,2023-10-31
170,27,5,3,sqrt,RFR,5,XLE,2023-10-31
199,10,2,3,log2,RFR,5,XLE,2023-10-31
92,17,5,2,sqrt,RFR,5,XLI,2023-10-31
76,15,2,3,log2,RFR,5,XLB,2023-10-31
163,17,3,3,log2,RFR,5,XLK,2023-10-31
50,25,6,1,sqrt,RFR,5,XLI,2023-10-31
180,17,4,3,log2,RFR,5,XLE,2023-10-31
172,25,6,3,log2,RFR,5,XLK,2023-10-31
50,17,3,3,log2,RFR,5,XLK,2023-10-31
63,10,6,3,log2,RFR,5,XLF,2023-10-31
83,17,5,2,sqrt,RFR,5,XLP,2023-10-31
138,14,6,1,sqrt,RFR,5,XLF,2023-10-31
110,10,4,3,log2,RFR,5,XLF,2023-10-31
92,24,2,3,log2,RFR,5,XLP,2023-10-31
56,27,6,1,sqrt,RFR,5,XLY,2023-10-31
174,23,5,3,sqrt,RFR,5,XLP,2023-10-31
68,23,4,2,sqrt,RFR,5,XLV,2023-10-31
171,28,5,2,log2,RFR,5,XLY,2023-10-31
173,12,3,2,sqrt,RFR,5,XLF,2023-10-31
77,10,2,3,log2,RFR,5,XLY,2023-10-31
182,20,5,2,log2,RFR,5,XLY,2023-10-31
200,24,6,3,log2,RFR,5,XLV,2023-10-31
171,26,3,3,log2,RFR,5,XLV,2023-10-31
197,26,3,1,log2,RFR,5,XLP,2023-10-31
177,24,4,3,log2,RFR,5,XLV,2023-10-31
163,24,3,3,sqrt,RFR,5,XLU,2023-10-31
174,21,4,3,sqrt,RFR,5,XLU,2023-10-31
61,26,4,1,sqrt,RFR,5,IYR,2023-10-31
138,26,3,3,log2,RFR,5,IYR,2023-10-31
188,23,3,3,sqrt,RFR,5,XLU,2023-10-31
68,27,4,2,log2,RFR,5,IYR,2023-10-31
53,25,2,3,log2,RFR,5,SPY,2023-10-31
149,30,3,3,log2,RFR,5,VOX,2023-10-31
93,30,4,3,log2,RFR,5,VOX,2023-10-31
199,30,3,3,sqrt,RFR,5,XLU,2023-10-31
163,24,6,2,log2,RFR,5,VOX,2023-10-31
82,27,2,3,sqrt,RFR,5,IYR,2023-10-31
102,24,2,3,log2,RFR,5,SPY,2023-10-31
80,15,2,2,log2,RFR,5,VOX,2023-10-31
50,19,6,3,log2,RFR,5,SPY,2023-10-31
129,16,4,3,sqrt,RFR,5,SPY,2023-10-31
82,21,4,3,sqrt,RFR,5,XLB,2023-11-30
62,20,3,3,log2,RFR,5,XLB,2023-11-30
161,25,4,3,log2,RFR,5,XLE,2023-11-30
112,10,4,3,sqrt,RFR,5,XLB,2023-11-30
53,21,6,3,log2,RFR,5,XLK,2023-11-30
102,10,5,1,sqrt,RFR,5,XLI,2023-11-30
66,15,5,3,sqrt,RFR,5,XLE,2023-11-30
166,10,6,2,sqrt,RFR,5,XLI,2023-11-30
193,10,2,3,sqrt,RFR,5,XLE,2023-11-30
105,10,6,2,log2,RFR,5,XLI,2023-11-30
96,14,5,3,log2,RFR,5,XLK,2023-11-30
196,30,3,3,log2,RFR,5,XLE,2023-11-30
76,17,5,3,sqrt,RFR,5,XLB,2023-11-30
181,19,2,3,sqrt,RFR,5,XLK,2023-11-30
143,14,6,1,log2,RFR,5,XLI,2023-11-30
176,12,4,3,log2,RFR,5,XLK,2023-11-30
75,15,3,2,sqrt,RFR,5,XLF,2023-11-30
83,10,4,3,log2,RFR,5,XLF,2023-11-30
72,27,6,2,sqrt,RFR,5,XLF,2023-11-30
52,28,6,2,log2,RFR,5,XLP,2023-11-30
56,27,4,3,sqrt,RFR,5,XLP,2023-11-30
55,30,6,2,sqrt,RFR,5,XLP,2023-11-30
81,10,6,3,log2,RFR,5,XLY,2023-11-30
59,16,2,3,log2,RFR,5,XLV,2023-11-30
84,24,2,1,log2,RFR,5,XLY,2023-11-30
71,26,3,1,log2,RFR,5,XLY,2023-11-30
157,19,6,2,sqrt,RFR,5,XLF,2023-11-30
117,30,3,2,log2,RFR,5,XLY,2023-11-30
174,18,4,2,sqrt,RFR,5,XLP,2023-11-30
171,17,2,3,log2,RFR,5,XLV,2023-11-30
70,30,6,3,log2,RFR,5,XLU,2023-11-30
52,21,3,3,log2,RFR,5,XLU,2023-11-30
52,17,4,3,log2,RFR,5,IYR,2023-11-30
199,14,2,2,sqrt,RFR,5,XLV,2023-11-30
72,14,4,3,log2,RFR,5,IYR,2023-11-30
63,29,3,3,sqrt,RFR,5,IYR,2023-11-30
193,12,3,3,sqrt,RFR,5,XLV,2023-11-30
172,18,5,3,sqrt,RFR,5,XLU,2023-11-30
57,23,4,3,sqrt,RFR,5,XLU,2023-11-30
196,28,5,2,sqrt,RFR,5,VOX,2023-11-30
108,21,2,1,log2,RFR,5,IYR,2023-11-30
72,21,3,1,sqrt,RFR,5,SPY,2023-11-30
70,23,4,3,sqrt,RFR,5,VOX,2023-11-30
60,11,5,2,log2,RFR,5,VOX,2023-11-30
200,15,3,2,log2,RFR,5,VOX,2023-11-30
50,25,5,1,log2,RFR,5,SPY,2023-11-30
130,26,6,3,sqrt,RFR,5,SPY,2023-11-30
105,25,5,3,log2,RFR,5,SPY,2023-11-30
56,26,6,3,log2,RFR,5,XLB,2023-12-31
66,23,5,3,log2,RFR,5,XLB,2023-12-31
196,23,6,3,sqrt,RFR,5,XLE,2023-12-31
199,17,2,3,sqrt,RFR,5,XLE,2023-12-31
69,12,3,3,log2,RFR,5,XLI,2023-12-31
107,14,5,3,sqrt,RFR,5,XLB,2023-12-31
79,14,4,3,sqrt,RFR,5,XLK,2023-12-31
199,20,3,3,sqrt,RFR,5,XLE,2023-12-31
199,16,3,2,log2,RFR,5,XLI,2023-12-31
185,12,6,2,log2,RFR,5,XLI,2023-12-31
68,18,2,2,sqrt,RFR,5,XLI,2023-12-31
109,16,2,3,sqrt,RFR,5,XLB,2023-12-31
173,25,5,3,log2,RFR,5,XLE,2023-12-31
85,13,3,3,log2,RFR,5,XLK,2023-12-31
199,15,4,3,sqrt,RFR,5,XLK,2023-12-31
50,28,2,2,sqrt,RFR,5,XLF,2023-12-31
200,13,3,3,sqrt,RFR,5,XLK,2023-12-31
75,20,4,2,sqrt,RFR,5,XLP,2023-12-31
83,30,3,2,log2,RFR,5,XLF,2023-12-31
173,20,6,3,sqrt,RFR,5,XLF,2023-12-31
56,29,2,3,sqrt,RFR,5,XLP,2023-12-31
73,30,6,2,log2,RFR,5,XLF,2023-12-31
81,13,4,1,log2,RFR,5,XLY,2023-12-31
200,30,6,3,log2,RFR,5,XLP,2023-12-31
106,17,3,1,log2,RFR,5,XLY,2023-12-31
155,10,6,2,sqrt,RFR,5,XLY,2023-12-31
200,18,6,3,sqrt,RFR,5,XLV,2023-12-31
160,22,3,3,sqrt,RFR,5,XLV,2023-12-31
175,14,3,2,sqrt,RFR,5,XLP,2023-12-31
57,24,4,3,log2,RFR,5,XLU,2023-12-31
116,27,5,3,sqrt,RFR,5,XLY,2023-12-31
60,29,5,2,log2,RFR,5,XLV,2023-12-31
199,24,2,3,sqrt,RFR,5,XLV,2023-12-31
52,15,6,3,sqrt,RFR,5,XLU,2023-12-31
62,10,6,3,log2,RFR,5,IYR,2023-12-31
50,24,2,3,log2,RFR,5,IYR,2023-12-31
76,13,3,3,log2,RFR,5,XLU,2023-12-31
168,10,3,2,sqrt,RFR,5,XLU,2023-12-31
91,30,4,3,log2,RFR,5,VOX,2023-12-31
50,24,2,3,sqrt,RFR,5,IYR,2023-12-31
70,18,6,2,sqrt,RFR,5,IYR,2023-12-31
65,21,5,3,log2,RFR,5,VOX,2023-12-31
134,14,2,1,log2,RFR,5,SPY,2023-12-31
183,23,6,3,sqrt,RFR,5,VOX,2023-12-31
104,24,5,2,log2,RFR,5,SPY,2023-12-31
199,19,3,3,sqrt,RFR,5,VOX,2023-12-31
166,24,4,2,sqrt,RFR,5,SPY,2023-12-31
185,25,5,3,log2,RFR,5,SPY,2023-12-31
