date,Method,ETF,RMSE
2020-11-02,shap,XLB,0.07201891550884573
2020-11-02,shap,XLV,0.050033137670870094
2020-11-02,shap,SPY,0.06377466227325417
2020-11-02,shap,XLU,0.05701331606154828
2020-11-02,shap,XLP,0.04298103054190587
2020-11-02,shap,XLK,0.06971113142861123
2020-11-02,shap,XLI,0.07604300857303538
2020-11-02,shap,IYR,0.0724943831101997
2020-11-02,shap,VOX,0.07106141320648221
2020-11-02,shap,XLE,0.15865325816630352
2020-11-02,shap,XLY,0.07848307260216222
2020-12-01,shap,XLU,0.05685516293822974
2020-12-01,shap,XLB,0.0782067347347695
2020-12-01,shap,VOX,0.07717849023538272
2020-12-01,shap,SPY,0.06898624483783612
2020-12-01,shap,XLP,0.046342461153386756
2020-12-01,shap,XLF,0.09263771332900479
2020-12-01,shap,XLK,0.07437860247073645
2020-12-01,shap,XLY,0.08192867100727298
2020-12-01,shap,XLI,0.08554963802144598
2020-12-01,shap,XLV,0.05157362501241289
2020-12-01,shap,XLE,0.17246526430884823
2020-12-01,shap,IYR,0.07556479531365362
2021-01-04,shap,IYR,0.07562804439417238
2021-01-04,shap,XLF,0.09316072224467718
2021-01-04,shap,XLB,0.07803709992453751
2021-01-04,shap,XLK,0.07443625863111612
2021-01-04,shap,XLI,0.08493939925824893
2021-01-04,shap,XLV,0.051598209229446745
2021-01-04,shap,XLU,0.05643945968738584
2021-01-04,shap,SPY,0.06902351179676632
2021-01-04,shap,XLY,0.08209763865027694
2021-01-04,shap,XLP,0.04638453174641126
2021-01-04,shap,VOX,0.07752423216476484
2021-01-04,shap,XLE,0.17273934498936183
