date,open,high,low,close,volume,dividend,split,gains,etf
2006-09-01,43.65465861925431,43.934068493051896,43.62804743000235,43.77440643310547,10100,0.0,0.0,0.0,VOX
2006-09-05,43.78107420295161,43.980655670166016,43.60810901197117,43.980655670166016,38800,0.0,0.0,0.0,VOX
2006-09-06,44.07379794483103,44.07379794483103,43.495015676690585,43.54158401489258,21400,0.0,0.0,0.0,VOX
2006-09-07,43.47504574909883,43.47504574909883,43.24220412660736,43.26216125488281,9700,0.0,0.0,0.0,VOX
2006-09-08,43.42183152366572,43.47505392612176,43.28212652389437,43.368614196777344,21200,0.0,0.0,0.0,VOX
2006-09-11,43.368626757132205,43.74782760221162,43.23557071245663,43.62142562866211,17200,0.0,0.0,0.0,VOX
2006-09-12,44.04050995029084,44.41971053018204,44.04050995029084,44.366493225097656,20800,0.0,0.0,0.0,VOX
2006-09-13,44.39977611325598,44.61931473903928,44.32659657132821,44.59935760498047,11800,0.0,0.0,0.0,VOX
2006-09-14,44.572739951858196,44.84550094604492,44.572739951858196,44.84550094604492,21700,0.0,0.0,0.0,VOX
2006-09-15,44.998503563824265,44.998503563824265,44.546123368200895,44.77896499633789,21900,0.0,0.0,0.0,VOX
2006-09-18,44.619303682356474,44.82553411728446,44.55943229501619,44.67918014526367,17800,0.0,0.0,0.0,VOX
2006-09-19,44.75900185085612,44.75900185085612,44.28666458996728,44.59268569946289,64600,0.0,0.0,0.0,VOX
2006-09-20,44.84548766800778,45.26460252521279,44.80556834191734,45.23799133300781,28300,0.0,0.0,0.0,VOX
2006-09-21,45.317838828229334,45.5839406808759,45.07168903140702,45.218048095703125,37100,0.0,0.0,0.0,VOX
2006-09-22,45.18478484507039,45.43093465289,45.11825937893657,45.37771224975586,7300,0.0,0.0,0.0,VOX
2006-09-25,45.79681872499623,46.08288274410469,45.59724236376482,45.98974609375,35400,0.0,0.0,0.0,VOX
2006-09-26,45.83674862840823,46.09620151073994,45.770223159322555,46.08289337158203,47600,0.0,0.0,0.0,VOX
2006-09-27,46.016351750311216,46.16271077626703,45.23799337652743,45.39100646972656,45800,0.0,0.0,0.0,VOX
2006-09-28,45.351096436318976,45.351096436318976,45.071686461630236,45.21139144897461,15700,0.0,0.0,0.0,VOX
2006-09-29,45.34444875616925,45.623858738947945,45.21139275801224,45.484153747558594,22800,0.0,0.0,0.0,VOX
2006-10-02,45.371058104441076,45.371058104441076,45.018468566511764,45.09164810180664,26400,0.0,0.0,0.0,VOX
2006-10-03,45.078329255343895,45.39765341067173,45.03840992925346,45.23799133300781,34100,0.0,0.0,0.0,VOX
2006-10-04,45.2579629344553,45.88996753145274,45.23800580280958,45.87665939331055,19700,0.0,0.0,0.0,VOX
2006-10-05,45.88997342870888,45.88997342870888,45.51077265200688,45.77687454223633,53000,0.0,0.0,0.0,VOX
2006-10-06,45.52407421402934,45.743612834235414,45.52407421402934,45.723655700683594,25600,0.0,0.0,0.0,VOX
2006-10-09,45.62385434754253,45.969789758318946,45.61720027938332,45.88996124267578,22300,0.0,0.0,0.0,VOX
2006-10-10,45.9498325163868,46.129451751708984,45.84339280393542,46.129451751708984,76200,0.0,0.0,0.0,VOX
2006-10-11,45.98975518943449,46.20929379821868,45.9564949937679,46.0296745300293,19300,0.0,0.0,0.0,VOX
2006-10-12,46.26916715967896,46.71489334106445,46.26916715967896,46.71489334106445,17900,0.0,0.0,0.0,VOX
2006-10-13,46.76810618917281,46.8412857055664,46.49534525069371,46.841285705566406,27700,0.0,0.0,0.0,VOX
2006-10-16,46.688278067879935,46.79471778336391,46.508658827440165,46.66166687011719,50100,0.0,0.0,0.0,VOX
2006-10-17,46.382257448394625,46.80802646643467,46.28912079292131,46.77476119995117,14400,0.0,0.0,0.0,VOX
2006-10-18,47.0342004301909,47.0342004301909,46.43546641123212,46.61508560180664,17300,0.0,0.0,0.0,VOX
2006-10-19,46.78141904571392,47.07413717258954,46.78141904571392,47.034217834472656,11400,0.0,0.0,0.0,VOX
2006-10-20,47.12071476785694,47.45334722267637,46.901176129539685,47.38682174682617,25800,0.0,0.0,0.0,VOX
2006-10-23,47.34023546273455,47.63960252837511,47.33358139500109,47.61299133300781,28000,0.0,0.0,0.0,VOX
2006-10-24,47.56643735847409,47.56643735847409,47.333595673231535,47.42007827758789,43200,0.0,0.0,0.0,VOX
2006-10-25,47.666199542166154,47.72607090725481,47.35352443408531,47.5797119140625,51000,0.0,0.0,0.0,VOX
2006-10-26,48.045424328992645,48.165172195170186,47.71279193134032,48.0853385925293,35200,0.0,0.0,0.0,VOX
2006-10-27,47.80593245402371,48.09865061175836,47.76601818726644,47.825889587402344,21300,0.0,0.0,0.0,VOX
2006-10-30,47.579755615928285,47.579755615928285,47.353567928198366,47.39348220825195,21200,0.0,0.0,0.0,VOX
2006-10-31,47.4134139897687,47.4134139897687,46.867897126664325,47.14731216430664,20900,0.0,0.0,0.0,VOX
2006-11-01,47.34023325900556,47.34023325900556,46.867890907682295,46.914459228515625,34200,0.0,0.0,0.0,VOX
2006-11-02,47.0009643998374,47.1340153445138,46.901173653546,47.12071228027344,10700,0.0,0.0,0.0,VOX
2006-11-03,47.14732199598705,47.19389033271055,46.76146716281059,47.07414245605469,29400,0.0,0.0,0.0,VOX
2006-11-06,47.306974805864726,47.55977357311892,47.28701767628769,47.519859313964844,31900,0.0,0.0,0.0,VOX
2006-11-07,47.68618850428549,47.99220975094525,47.68618850428549,47.85250473022461,35500,0.0,0.0,0.0,VOX
2006-11-08,47.66621562032143,47.84583485173928,47.48659131333684,47.73939514160156,21300,0.0,0.0,0.0,VOX
2006-11-09,47.75270250285522,47.79261676330588,46.961035833469126,47.047523498535156,47000,0.0,0.0,0.0,VOX
2006-11-10,47.12070169933811,47.12070169933811,46.49535123353122,46.77476119995117,39100,0.0,0.0,0.0,VOX
2006-11-13,46.94108296042401,47.18057869598272,46.8546003630819,46.87455749511719,32600,0.0,0.0,0.0,VOX
2006-11-14,47.02091528245734,47.15396620944435,46.568535024906964,47.140663146972656,27400,0.0,0.0,0.0,VOX
2006-11-15,47.01425784282372,47.100745507175446,46.62840307643011,46.967689514160156,44300,0.0,0.0,0.0,VOX
2006-11-16,47.01425076588945,47.153955730850704,46.86789173338725,47.08077621459961,44800,0.0,0.0,0.0,VOX
